,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-0.17,7.09,82.49,-2.81,2.15,-3.5,-0.11,0.99,0.03
1,-10.86,9.95,86.51,15.13,10.38,-38.66,-0.15,1,0.06
2,-42.74,-2.02,99.99,56.29,-48.98,-163,-0.44,1.39,0.19
3,-10.3,-17.22,34.99,-250.14,-70.97,-39,-0.71,0.41,0.11
4,12.3,-22.02,-14.8,-191.05,-32.4,47,-0.77,-0.26,-0.25
5,16,-24.29,-11.9,12.37,-20.3,57.23,-0.76,-0.39,0.29
6,8.76,31.83,10.13,89.05,210,33.82,-1.37,-0.36,0.18
7,-30.3,-29.55,29.78,80.99,-250.14,-117,-0.91,-0.04,0.71
8,-11.6,-36.63,10.76,-69.32,-34.98,-44,-0.13,-0.15,0.61
9,-18.1,-9.6,36.15,-20.31,242.73,55.1,-0.06,-0.65,0.15
10,-15.68,1.96,33.03,128.19,-136.09,-64,-1.46,-0.22,1.16
11,-5.36,0.27,27.03,-4.86,41.01,-60.3,-0.47,-0.24,1.06
12,-15.56,6.46,23.63,-16.07,-9.65,-20.6,-0.33,-0.29,0.87
13,-12.8,-14.26,15.44,-6.25,22.68,-60.06,-0.21,-0.29,0.8
14,-33.57,37.55,52.13,-20.4,-79.24,-49,0.22,-0.59,0.38
15,-33.58,49.6,42.56,136.53,122.11,-90,-1.14,-0.66,0.75
16,-11.62,49.28,42.85,24.92,75.84,-129.1,-0.34,-0.02,1.21
17,-5.44,24.48,26.85,-24.48,47.66,-120,-0.33,-0.38,0.83
18,7.95,87.69,56.88,10.95,3.68,-44.69,-0.34,-0.34,0.96
19,-6.15,70.06,74.64,-48.98,-90.18,-21,0.14,-0.62,0.45
20,-17.08,57.83,71.17,131.39,250.13,30.5,-0.71,-0.7,0.27
21,-36.56,62.2,64.83,82.84,-65.31,-23.6,-1.06,-0.36,0.66
22,13.28,49.72,45.78,1.85,-41.73,-60.99,-0.73,-0.43,0.6
23,23,80.88,88.07,-6.43,23.37,-141.1,-0.33,-0.65,0.5
24,-6.45,84.27,99.46,-52.73,-41.24,51,-0.08,-0.58,-0.01
25,-8.18,86.04,110.46,57.66,23.6,-24.8,-1.15,-0.67,0.29
26,-18.3,59.68,120.65,60.48,12.57,-31.44,-0.26,0.19,0.77
27,8.98,13.97,82.13,59.26,-100.06,-70,-0.73,-0.05,0.61
28,31.47,40.3,106.54,-132.61,-169.47,34,-1.03,-0.08,0.89
29,-35.3,44.25,156.79,114.04,96.48,121,0.29,-0.17,0.58
30,-41.7,10.58,130.89,219.42,15.12,-136,-1.12,-0.39,0.09
31,10.76,11.89,105.87,-76.34,-129.54,-16,-1.14,-0.03,1.14
32,3.59,43.14,162.71,-67.69,9.23,41.37,-0.25,-0.34,1.28
33,-65,25.79,185.81,249.56,119.15,13.8,0.09,-0.34,-0.06
34,12.86,18.35,149.13,118.04,-68.25,-250,-0.94,-0.49,0.53
35,16.95,30.81,178.93,-118.6,-25.16,49,-0.94,0.11,1.32
36,-47,45.8,219.89,150.17,48.09,65.44,0.04,0.11,0.73
