,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-3.89,1.95,74.31,-31.31,48.03,-77.8,0,1.11,0.14
1,-37.93,11.12,43.67,-101.41,38.56,-126,0.86,0.77,0.2
2,43.1,2.05,38.05,-20.89,-43.57,165,-1.66,1.1,0.15
3,-14,-15.84,-17.81,-227.43,-74.41,-56,-0.44,1.2,0.71
4,-18.8,-8.81,-55.2,-137.01,20.82,-67,-0.08,-0.12,0.18
5,-32.87,48.59,2.15,221.32,219.21,-126,-1.08,0.06,0.54
6,-56.27,29.66,42.54,157.39,-72.78,-215,-0.62,0.52,0.87
7,-18.88,-5.02,11.83,-118.93,-134.83,-7,-0.07,0.32,1.03
8,21.08,-4.75,15.27,21.02,-7.76,81.37,-0.43,-0.31,0.2
9,-37.54,2,77.49,250.13,17.66,-144,-1.45,0.31,1.01
10,-44.8,-11.47,81.06,22.95,-57.35,-173,-0.49,0.54,1.11
11,6.34,-29.16,61.53,-66.35,-73.68,24.3,-0.15,0.17,1.38
12,17.33,-18.86,75.12,70.74,29.15,66.9,-0.55,-0.46,0.2
13,-45,-21.86,100.22,112.33,-20.38,-175,-0.87,0.12,1.34
14,-45.6,-38.17,83.09,-53.82,-71.35,-175,-0.35,0.17,1.24
15,-0.98,-46.09,64.18,-61.99,-37.04,-3.7,0.09,-0.05,1.01
16,21.57,-48.19,62.54,11.69,-18.08,83.3,-0.15,-0.5,0.39
17,-7.3,-22.74,119.21,237.54,88.14,-28.1,-0.68,-0.17,0.92
18,-58,-54.12,142.79,111.24,-137.04,-22,-0.88,0.3,0.74
19,-23,-79.36,101.54,-144.48,-110.88,-8,-0.18,0.33,1.43
20,12.5,-80.86,101.42,165.18,98.77,-68.9,-0.22,-0.23,0.12
21,-17,-51.8,138.24,94.02,12.08,-184.1,-0.64,-0.2,1.12
22,-47,-45.59,156.72,44.1,-22.3,-161,-0.55,0.27,1
23,-41,-47.85,161.37,-101.29,-90.72,-46,-0.61,-0.02,0.83
24,22.8,-73.09,131.3,30.22,-30.83,81.16,-0.04,0.03,1.32
25,-15,-40.36,175.1,196.69,114.41,-58,-0.21,-0.27,0.35
26,-20,-54.52,156,46.1,27.77,-212.5,-0.66,-0.02,1.09
27,18.2,-56.3,130.01,-68.98,-102.08,-79,-1.04,0.73,1.58
28,8.09,-43.94,145.78,-77.37,-16.75,70.1,-0.17,0.02,1.11
29,-11.6,-0.98,152.9,89.99,36.19,31.24,-0.05,-0.1,0.49
30,-46,-22.62,155.16,53,161.63,-44.6,-0.41,-0.51,0.59
31,-2.6,-42.43,129.12,33.73,-89.29,-178,-0.5,-0.17,1.27
32,26,-48.02,120.48,-81.61,-84.76,-10,-0.37,-0.02,1.35
33,-13,-39.36,155.26,-8.25,-33.36,100.1,-0.18,0.23,1.09
34,-59,-19.22,165.44,162.48,22.53,-52.6,-0.26,-0.34,0.41
35,-65,-35.8,159.81,64.64,69.8,-230.5,-0.53,-0.54,0.87
36,1.45,-29.73,130.98,6.77,-71.76,-250.1,-0.64,0.17,1.07
37,8.38,-20.93,153.99,-91.69,17.21,5.6,-0.36,-0.44,1.36
38,-42.02,6.78,183.55,123.4,29.83,32.34,-0.07,0.1,0.48
39,-51.2,12.86,182.75,143.05,104.17,-161,-0.08,-0.81,0.44
40,22,-20.68,155.76,24.89,21.42,-197.6,-0.49,0.01,1.22
41,10.99,5.55,188.13,0.77,-29.98,0,-0.63,0.22,1.27
42,-52.2,18.27,216.69,-31.86,-186.4,-11,-0.25,0.04,1.42
43,-35,-12.9,186.21,-13.4,39.05,78.41,-0.19,-0.23,0.23
44,9.89,-33.37,172.33,160.05,97.51,42.45,-0.42,-0.43,0.63
45,11.8,-32.42,175.76,142.77,46.3,-200,-0.88,0.31,1.24
