,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-1.88,6.63,79.43,4.73,6.32,-7.27,-0.46,0.84,0.32
1,3.77,-8,84.19,23.82,-62.97,14.54,-0.46,0.66,0.3
2,9.96,-5.62,84.2,4.23,3.41,38.47,-0.46,0.78,0.15
3,-6.07,37.58,73.08,-42.56,173.2,-23,0.04,0.91,0.32
4,8.1,53.94,62.56,-42.24,69.08,31.14,-0.29,1.04,0.09
5,1.41,56.3,61.84,-3.08,13.94,5.44,-0.46,0.92,0
6,0.42,45.33,66.1,14.04,-34.48,1.5,-0.23,0.96,0.14
7,3.58,42.56,65.59,-3.6,-5.96,13.83,-0.23,0.95,0.09
8,1.49,45.35,65.24,-2.95,15.81,5.76,-0.26,1.05,0.1
9,-22.25,42.93,61.99,-13.71,-5.56,-85.9,-0.34,0.95,0.11
10,-34.31,47.87,68.63,28.67,20.53,-132.4,-0.5,0.61,0.13
11,-6.39,38.14,62.29,-17.31,-42.26,-24,-1.1,0.37,0.24
12,-0.68,23.59,60.29,-2.06,-55.15,-2.42,-0.81,0.51,0.64
13,6.18,20.94,49.58,-37.05,-12.28,23.8,-0.55,0.39,0.74
14,3.39,19.98,42.23,-23.22,-6.6,13.02,-0.63,0.19,0.77
15,-10.78,13.72,56.51,62.43,-29.18,-41.6,-0.69,0.19,0.67
16,-14.87,-6.01,37.33,-66.92,-78.53,-57,-0.23,-0.19,1.51
17,23.23,-39.28,15.57,-68.79,-133.27,89,0.05,-0.5,0.1
18,-59,-16.55,108.92,170.44,118.44,7.08,-1.22,-0.06,0.6
19,-13.4,-46.46,77.15,197.06,-48.02,-210,-1.04,0.5,0.83
20,12.55,-44.56,60.69,-112.06,-124.79,-5,-0.26,0.25,1.24
21,3.88,-25.83,83.01,-48.43,2.82,48.27,0.1,-0.18,0.27
22,-41.17,7.22,129.3,104.31,63.85,14.91,-0.4,-0.5,0.69
23,-64,-25.01,128.47,198.76,120.4,-158,-1.22,0.13,0.95
24,-13.2,-43.3,91.28,16.83,-133.73,-249,-1.09,0.11,1.49
25,15.5,-20.82,123.82,-129.65,-71.69,-50,0.3,0.04,0.4
26,-39.66,4.85,182.2,145.76,72.59,59.67,-0.8,-0.07,0.36
27,-51,-50.36,140.13,250.13,92.34,-151,-1.37,0.57,1.38
28,5.35,-30.12,127.43,-132.98,-206.76,-1,-0.19,0.43,1.1
29,10.15,1.97,152.95,-20.22,79.04,20.59,0.17,-0.21,0.04
30,-30.9,14.16,198.48,126.06,116.6,39,-0.95,-0.49,0.83
31,-33,-41.16,181.76,207,38.4,-119,-1.62,0.13,0.64
32,18.1,-25.97,151.41,-34.78,-220.5,-13,-0.16,-0.05,1.29
33,17.1,-23.38,181.63,-89.68,58.79,69.4,0.32,-0.17,0.53
34,-26,18.38,208.86,150.72,-1.04,66.36,-0.78,-0.55,0.54
35,-46.3,-9.69,221.61,140.24,155.5,-100,-0.97,-0.28,0.76
36,-16,-28.91,198.22,83.71,-114.14,-178,-0.6,0.11,1.08
37,12.8,-32.25,186.87,-56.53,-79.01,-62,-0.05,-0.2,1.13
38,3.56,-10.33,190.68,-8.02,-16.72,49.77,-0.43,-0.5,0.69
39,-26.4,10.07,217.28,50.27,78.41,13.7,-1.07,-0.08,1.18
40,-65,-7.5,235.56,138.17,73.6,-102,0.24,-0.23,0.84
41,0,1.18,2,107.28,-74.19,-250,-0.24,-0.53,0.11
42,-17,-33.49,208.74,-67.31,-102.85,-68,-1.06,0.35,1.19
43,14.7,-17.97,209.76,47.67,52.92,56.6,-0.91,-0.11,1.55
44,-35.5,0.73,262.18,241.6,65.58,-136,0.26,-0.08,0.63
45,-65,-7.08,247.42,-16.52,-36.07,-250,-0.2,-0.44,0.36
46,-3.4,-32.7,221.08,-64.83,-100.27,-13,-1.07,-0.47,1.27
47,23.8,-16.15,231.01,83.02,58.16,92.12,-0.72,0.3,1.26
48,-0.39,27.23,253.38,129.21,165.07,-1.5,0.24,0.02,1.07
49,-64,-30.42,265.67,88.33,-232.18,-250,-0.43,0.08,-0.24
50,-15,-54.84,240.87,-56.95,-100.71,-59,-1.45,-0.31,0.77
51,28.02,-4.51,206.54,-100.34,183.32,107,-0.9,0.4,1.01
52,7.27,38.31,265.32,250.13,149.13,25.8,-0.1,-0.04,1.01
53,-62.2,40.35,288.67,133.94,7.98,-240.2,-0.02,-0.18,0.36
54,-20,11.56,252.75,-97.34,-109.8,-77,-0.62,-0.6,0.55
55,12.55,1.17,236.06,-22.15,-40.29,48.2,-0.86,0.31,1.44
56,0.12,35.63,261.19,144.83,132.8,0.45,-0.59,-0.12,0.97
57,-61.8,47.4,277.55,106.1,48.19,-238,0.11,-0.31,0.87
58,-49,45.36,260.94,-21.15,-5.59,-188,0.26,-0.38,0.37
59,-18.5,27.9,232.1,-70.62,-61.64,-71,-0.13,-0.72,0.45
60,7.92,28.05,208.16,-52.52,9.3,30.56,-0.78,-0.17,1.45
61,20.87,40.62,228.54,123.61,53.24,79.97,-0.43,0.1,0.99
62,-31,36.87,262.3,173.5,-13.08,-119,0,-0.14,0.88
63,-50.3,17.33,256.8,19.08,-76.11,-193,0.02,-0.4,0.53
64,-7.42,6.52,228.03,-72.65,-40.54,-28,-0.78,-0.45,0.62
65,32.85,-6.67,203.08,-57.79,-51.65,126,-0.91,0.28,1.24
66,10.75,8.49,246.31,209.66,52.44,41.36,-0.19,0.24,1.33
67,-64.78,6.42,269.57,131.53,-12.66,-250,-0.05,-0.13,0.48
68,-17,-37.11,232.61,-106.5,-174.63,-6,-0.39,-0.48,0.63
69,26.9,-40.34,218.43,-17.11,-19.75,103,-0.69,-0.23,1.33
70,8.1,-23.61,230.71,89.47,56.36,31.16,-0.64,0.28,1.05
71,-13,-16.68,251.23,121.05,19.73,-53.9,-0.15,-0.11,1.1
72,-53,-36.52,260.65,70.31,-80.56,-190,-0.06,-0.19,0.69
73,-13,-55.9,240.82,-36.91,-85.03,-50,-0.49,-0.67,0.27
74,22.5,-60.02,213.61,-68.01,-26.3,86.5,-0.7,-0.08,1.32
75,-60,-38.61,243.91,0.35,14.82,0,-0.33,-0.01,1.18
76,-62,-55.24,239.98,41.41,11.66,56.99,0.19,-0.09,0.78
77,-0.2,-66.83,204.53,145.77,42.77,-217,-0.07,-0.41,0.32
78,38.7,-58.22,211.15,23.37,-75.31,-241,-0.98,-0.07,0.86
79,-37,-50.1,264.77,-102.56,-53.1,0,-0.64,0.47,1.15
80,-64,-45.1,254.82,67.5,22.61,149.06,-0.26,-0.06,1.23
81,-30,-86.38,242.27,250.13,15.5,-146,0.11,-0.08,0.65
82,22.1,-96.24,218.2,-0.57,7.62,-246.47,-0.48,-0.47,0.5
83,25,-77.2,233.68,-9.01,-174.55,-118,-0.57,-0.02,1.32
84,-33,-70.09,261.04,-56.79,-51.98,85.6,-0.74,0.3,1.09
85,-17,-97.52,244.68,102.51,55.26,96.31,-0.21,-0.18,1.21
86,26.1,-87.93,216.1,146.6,12.31,-127,-0.22,0,0.49
87,2.12,-66.91,241.95,77.69,-39.32,-218,-0.37,-0.73,0.68
