,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.35,25.04,71.84,-0.59,-8.65,7.01,-0.15,0.94,-0.26
1,0.31,24.46,72.17,1.18,0.04,1.2,-0.17,0.94,-0.24
2,-1.6,25.49,71.8,-1.69,6.65,-6.17,-0.15,0.95,-0.24
3,0,29.21,75.95,16.6,18.5,0.01,-0.06,1.01,-0.31
4,2.64,26.51,78.1,8.94,-6.92,10.18,-0.09,0.99,-0.27
5,-0.04,27.26,76.91,-3.63,6.52,-0.16,-0.08,0.92,-0.31
6,-0.27,23.83,77.1,1.94,-9.97,-1.03,-0.06,0.94,-0.34
7,-0.52,22.27,76.15,-2.9,-2.73,-2,-0.03,0.94,-0.32
8,-0.68,21.52,75.86,-0.31,-0.24,-2.63,-0.09,0.96,-0.32
9,1.57,18.26,75.99,1.25,-10.17,6.05,-0.06,0.91,-0.3
10,0.72,13.6,75.56,-1.17,-16.4,2.79,-0.07,0.96,-0.3
11,0.18,12.36,75.18,-0.95,-3.66,0.68,-0.09,0.97,-0.3
12,-1.62,12.72,71.92,-13.18,2.05,-6.24,-0.17,1.1,-0.23
13,0.71,5.12,66.51,-21.88,-30.57,2.73,-0.22,0.94,-0.19
14,-0.57,-8.85,69.11,9.47,-57.7,-2.2,-0.23,0.9,-0.15
15,-2.35,-26.28,64.27,-19.56,-74.79,-9,-0.33,0.88,-0.03
16,-11.1,-57.07,68.93,16.18,-129.15,-42,-0.18,1.01,0.03
17,1.49,-72.23,77.27,33.36,-73.2,5.76,-0.31,0.88,0.1
18,4.17,-84.65,83.01,24.48,-64.83,16.1,-0.33,0.89,0.11
19,6.26,-84.34,86.32,16.05,-16.26,24.18,-0.44,0.97,-0.03
20,-15.4,-91.5,87.05,3.97,-43.55,-59.3,-0.17,1.18,0.11
21,-2.63,-96.24,89.51,11.85,-35.85,-10.1,-0.23,0.9,0.11
22,-1,-117.1,98.52,19.62,-102.11,-6.2,-0.25,1.05,0.15
23,15,-147.67,112.63,21.69,-14.23,-4.19,-0.4,0.96,-0.02
24,-15,-149.16,108.82,61.06,-144.67,58.2,-0.31,0.94,0.05
25,-2,-157.39,113.95,-9.34,-31.76,-58.8,-0.27,1.15,0.11
26,8.6,-164.1,119.57,26.57,-59.84,-9.41,-0.26,0.79,0.05
27,5,-172.45,122.15,29.56,-55.25,33.21,-0.31,0.93,0.08
28,0.6,-183.77,121.46,18.44,-62.96,19.24,-0.39,0.99,0.02
29,-17,-183.72,121.23,5.65,-76.48,2.68,-0.28,1.14,0.07
30,2.4,-194.87,130,6.38,-31.59,-67.07,-0.3,0.87,0.15
31,-1,-201.52,136.45,43.55,-77.15,9.26,-0.3,0.9,0.15
32,8.3,-213.26,138.76,35.57,-60.97,-6.08,-0.32,0.99,0.09
33,-3,-218.12,136.37,19.67,-82.15,32.21,-0.35,0.92,0.05
34,-18,-219.37,137.17,1.6,-57.21,-12.09,-0.33,1.06,0.14
35,7.1,-232.42,148.3,13.63,-42.68,-72,-0.37,0.92,0.13
36,-2,-222.58,147.53,55.84,-90.92,27.37,-0.35,1.02,0.06
37,7.6,-222.53,149.17,9.44,-0.92,-9.46,-0.37,0.93,0.06
38,-15,-230.66,148.99,19.44,-39.15,29.6,-0.28,1.16,0.22
39,7.8,-232.49,151.04,11.41,-70.05,-59.3,-0.26,0.86,0.16
40,-5,-231.18,152.19,20.92,-47.19,30.47,-0.29,0.88,0.12
41,1.1,-243.3,152.08,17.58,-34.94,-21.4,-0.39,0.94,0.01
42,-5,-251.04,155.69,13.12,-89.19,4.24,-0.34,0.98,-0.04
43,-11,-263.32,162.02,27.63,-73.4,-22.7,-0.27,1.07,0.13
44,0,-277.26,167.22,38.41,-91.65,-43,-0.31,0.92,0.09
45,0,-277.23,170.89,35.58,-101.38,-1.1,-0.27,0.85,0.1
46,-3,-301.56,169.49,30.11,-47.16,-1.85,-0.41,0.99,0.11
47,-23,-299.16,165.74,27.02,-110.47,33.3,-0.4,0.85,0.04
48,-5,-311.49,177.49,1.59,-86.38,-11.56,-0.3,1.02,0
49,18,-320.8,190.32,0.35,-41.52,-91.41,-0.33,0.93,0.02
50,1.5,-328.33,192.24,62.32,-100.43,-22,-0.39,1.05,0.06
51,-8,-330.56,184.1,68.5,-90.18,69.11,0.01,1.01,0.29
52,-22,-353.47,187.4,26.49,-81.73,5.84,-0.41,0.83,-0.05
53,0,-357.68,198.18,-11.95,-65.79,-31,-0.29,1.01,0.04
54,25,-343.26,195.25,31.05,-147.93,-88,-0.22,0.93,0.08
55,0,0.49,8.51,25.85,-117.49,-7.9,-0.24,0.94,0.22
56,-9,-336.03,177.72,50.5,-18.06,0.2,-0.17,1.18,0.1
57,-16,-340.22,178.96,7.12,-0.89,98.31,-0.05,0.84,0.35
58,-1,-337.38,193.58,-38.24,43.86,1.88,-0.21,0.97,0.15
59,18,-359.93,198.94,5.3,-123.61,-37.5,-0.3,1.08,0.01
60,-5,-375.92,199.29,19.99,-67.91,-59.8,-0.31,0.85,0.01
61,-28,-372.53,195.56,76.02,-46.33,-7.08,-0.24,1.14,0.1
62,7.4,-386.6,208.82,40.31,-146.89,69.9,-0.38,1,-0.05
63,12,-389.22,217.25,22.14,-124.62,-22,-0.21,0.98,0.03
64,7.2,-379.39,205.23,4.57,-48.6,-109.6,-0.31,0.76,0.02
65,-27,-366.32,203.95,73.82,-120.04,28.5,-0.54,1.05,0.04
66,1.8,-362.63,210.6,57.19,-76.81,47.48,-0.31,1.16,0.12
67,27,-360.67,214.26,-25.31,-25.47,28.1,-0.35,0.87,0.08
68,-10,-342.41,202.65,15.67,-11.04,-97.2,-0.26,0.88,0.14
69,0,-4.12,0.66,48.09,-46.75,6.97,-0.46,1.07,0.05
70,-24,-372.59,209.63,37.58,-53.77,104.2,-0.31,0.99,0
71,4.4,-379.53,214.45,-23.58,12.63,-39.5,-0.36,0.86,-0.02
72,5.7,-365.56,221.55,7.99,-55.53,-15.85,-0.36,1.03,0.13
73,8.6,-335.78,216.54,58.18,-169.34,-86,-0.32,0.89,0.1
74,1.5,-349.46,208.93,41.8,-90.69,17.08,-0.4,0.82,0.08
75,-26,-346.2,204.97,52.59,-8.96,22.18,-0.42,0.92,0.05
