,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-0.07,27.59,51.1,1.63,0.44,-1.46,-0.47,0.78,0.45
1,-0.01,27.51,50.64,-1.48,-0.31,-0.02,-0.47,0.78,0.46
2,1.41,27.21,50.61,-0.01,-1.08,5.43,-0.48,0.81,0.49
3,8.93,27.61,52.11,6.38,1.31,34.5,-0.55,0.84,0.51
4,-3.93,44.5,54.17,8.02,67.37,-15.18,-0.8,1.25,0.43
5,-55.9,-10.19,38.92,-60.41,-214.41,-21,-0.22,0.93,0.8
6,40.97,-8.41,22.56,-68.54,4.2,158.2,-0.14,0.79,0.52
7,-4.43,-6.24,60.55,144.41,-3.63,-15.8,-1.22,0.04,0.44
8,-48.1,-12.24,77.54,72.54,-29.1,-185,-0.44,0.55,0.74
9,-51.5,-11.8,78.52,22.8,-6.99,-198.9,-1.56,-1.49,0.88
10,17.47,-54.45,29.45,-188.85,-167.41,67,0.6,0.55,0.72
11,-2.88,11.96,91.02,250.13,250.13,-11,-0.83,0.26,0.62
12,-65,-34.39,100.87,51.41,-193.12,-250,-1.93,0.64,1.01
13,10.41,-48.17,91.58,-105.92,-109.73,22,0.22,-0.01,0.5
14,-21,-45.36,106.84,103.31,39.75,40.02,-0.32,-0.64,0.6
15,-38,-36.63,122.55,77.98,0.69,-83.85,-0.42,-0.28,1.27
16,-41,-59.35,114.71,79.25,21.56,-147.4,-0.82,0.11,1.03
17,24.71,-63.27,92.67,-11.89,-99.69,-160,-0.29,0.01,1.08
18,-1.92,-2.49,126.63,-67.43,-20.19,95,0.4,-0.2,0.62
19,-27.8,24.21,155.53,156.34,230.85,-7.4,-0.32,-0.45,0.7
20,-31.3,11.64,178.59,136.09,99.28,-107,-0.89,0,0.87
21,-32,-36.13,153.68,118.17,-54.19,-120,-0.91,-0.11,0.8
22,9.19,-27.97,159.06,-72.49,-195.48,-12,-0.67,0.14,1.05
23,-54.96,5.69,191.81,54.93,25.69,35.34,-0.07,-0.43,0.3
24,-40,-35.97,158.33,113.47,127.47,-57,-0.37,-0.32,0.94
25,21.5,-46.17,130.15,69.09,-3.11,-196.2,-0.56,0.07,1.22
26,-1.1,-35.69,146.4,-102.68,-167.69,-1,-0.17,-0.18,1.47
27,-27.7,2.79,178.37,-90.12,-38.59,82.8,0.44,0.16,0.33
28,-61.4,-1.33,181,97.26,34.49,-4.5,-0.01,-0.69,0.25
29,-28,-39.92,160.67,152.61,147.25,-106,-0.27,-0.07,1.37
30,27.7,-50.54,141.45,39.61,-21.84,-236,-0.89,-0.08,1.23
31,-1.9,-38.03,154.23,-52.19,-153.58,-10,0.08,-0.01,1.06
32,-27.4,7.21,204.71,-51.56,-42.73,107,0.38,0.01,0.46
33,18.9,-46.8,165.62,83,39.19,-7.54,-0.25,-0.7,0.38
34,18.1,-57.34,172.07,226.12,166.44,-105,-1.86,0.41,1.06
35,8.69,-10.23,227.3,115.17,-185.08,-20,-0.9,0.25,0.9
36,-42,-46.65,261.3,-192.42,-38.34,67,0.28,0.38,1.25
37,-35,-91.95,243.68,63.85,-47.26,69.95,0.15,-0.52,-0.09
38,19,-103.22,222.6,250.13,170.19,33.4,-1.3,-0.21,0.77
39,10.1,-81.79,230.54,171.14,-156.15,-16,-1.16,0.35,0.91
40,-22,-40.42,260.37,-26.61,-192.66,-13,-0.39,-0.23,0.9
41,11.1,-88.68,240.11,-44.89,-53.89,75.4,0.48,-0.04,0.63
42,13.8,-85.52,243.24,74.16,62.03,38.9,-0.57,-0.53,0.18
43,-14,-18.83,281.25,159.53,146.45,-85,-1.1,-0.43,1.15
44,-55,-31.47,285.49,69.85,-122.66,-250,-1.04,0.06,1.18
45,-37,-78.88,263.98,-67.23,-92.21,42.9,0.24,0.05,0.89
46,23.7,-63.02,228.22,56.89,-6.31,53.3,-0.32,-0.38,0.43
47,13.8,-39.73,247.81,196.31,250.13,-56,-0.61,-0.6,1.02
48,-55,-49.31,266.67,61.79,-58.25,-214,-0.73,0.01,1.27
49,22.9,-67.29,231.79,-37.56,-180.95,-13,0.02,0.01,1.35
50,42.4,-74.65,256.57,-100.55,60.53,91.6,0.43,-0.04,0.26
51,-26,-56.4,300.99,123.31,80.36,53.33,-0.2,-0.53,0.37
52,-65,-78.3,301.2,216.34,95.28,-153,-1.04,0.47,1.21
53,-1.4,-98.66,267.23,-53.72,-140.87,-19,-0.62,0.19,1.56
54,7.8,-108.23,255.48,-98.85,-73.2,88.3,0.44,0.13,0.46
55,-12,-64.64,277.24,142.11,-45.19,164,-0.4,-0.43,0.55
56,-52,-46.12,294.92,220.56,53.27,-102,-1.06,-0.22,0.89
57,-39,-75.7,275.27,46.65,-100.92,-250,-0.61,0.37,1.21
58,20.2,-86.71,243.78,-89.08,-97.74,-5.7,-0.3,0.09,0.82
59,19.5,-90.9,248.77,-0.28,-53,30.11,0.07,-0.25,0.54
60,-22,-53.26,270.24,133.87,156.35,-48,-0.09,-0.53,0.73
61,-64,-74.67,257.58,113.34,57.39,-203,-1.2,0.39,1.37
62,-6.6,-94.99,227.54,-32.37,-130.96,-15,-0.86,0.16,1.39
63,17,-100.14,206.13,-81.53,-51.63,78.2,0.4,-0.07,0.68
64,4.62,-72.71,241.33,68.05,-32.06,75.22,-0.11,-0.6,0.39
65,-53,-40.65,278.72,128.9,133.2,-86,-0.53,-0.52,1.44
66,0,-206.53,1.42,-6.66,-98.08,-250,-0.56,-0.13,1.42
67,-62,-53.58,286.24,-77.15,-90.17,-25,0.34,-0.21,0.9
68,-5,-105.54,248.57,-43.48,-28.47,67.8,0.49,-0.4,0.25
69,23,-106.4,244.92,180.45,89.72,17.85,-0.33,-0.41,0.47
70,-10,-64.93,292.12,76.15,-66.85,-241,-1,0.33,1.47
71,-50,-56.65,302.14,-107.48,-213.32,-2,-1,-0.15,0.78
