,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-0.94,47.5,54.94,23.05,60.79,-18.73,-0.65,0.64,-0.58
1,-25.29,39.82,49.53,-13.65,-28.59,-85,-1.03,0.35,-0.52
2,2.01,31.11,42.28,-25.03,-37.5,7.77,-0.62,0.31,-0.31
3,-3.75,83.16,65.48,98.66,206.35,-14.4,-0.66,0.14,-0.54
4,2.11,60.1,100.82,152.75,-91.15,8.12,-1.2,-0.09,-0.3
5,-29.2,-1.79,110.68,54.86,-250.14,-113,-1.92,0.23,0.75
6,27.74,8.19,88.18,-81.37,34.44,106.2,-0.08,0.13,-0.01
7,-0.84,30.11,131.66,193.79,85.24,-3.24,-0.43,-0.58,0.73
8,-39.9,28.52,176.28,197.66,-7.26,-154,-0.73,0.4,0.95
9,-56.6,-8.53,173.59,15.06,-150.59,-217,-0.96,0.37,1
10,-2.6,-45.85,132.34,-140.64,-149.44,-1,0.2,0.44,1.19
11,20.4,-50.13,116.18,-41.05,-14.44,78.7,0.54,-0.17,0.21
12,19.6,-20.38,154.69,179.26,103.4,75.6,-0.54,-0.46,0.12
13,-8.27,-6.57,199.2,199.43,47.16,-31.8,-0.9,0.69,1.36
14,-41,-38.91,207.09,62.8,-138.4,-161,-0.9,0.13,0.88
15,-16,-75.88,173.08,-105.95,-157.27,-6,-0.38,0.37,1.08
16,4.77,-72.58,136.81,-116.82,5.91,18.35,0.28,-0.05,0.47
17,24.4,-62.22,129.16,-1.69,28.19,94.27,-0.11,-0.41,0.41
18,-3.7,-38.42,180.42,224.33,78.47,-14.1,-1.22,0.18,1.38
19,-56,-60.18,199.69,104.66,-100.91,-21,-1.08,0.31,1.04
20,-24,-101.72,179.15,-49.6,-179.18,-93,-0.43,-0.1,1.23
21,11,-105.96,136.79,-136.9,-24.65,43,0.45,-0.24,0.23
22,26,-108.55,141.48,47.81,-34.46,101.8,-0.29,-0.29,0.07
23,-30,-76.69,196.41,242.42,105.57,-117,-1.07,0.07,1.89
24,-38,-80.97,183.1,-21.53,-31.56,-148,-0.24,-0.04,1.05
25,-36,-98.59,163.17,-46.7,-85.09,-139,-0.17,-0.55,1.18
26,16,-116.54,144.18,-49.71,-81.12,65,0.5,-0.02,0.57
27,21,-90.16,138.05,12.53,86.73,80.92,-0.02,-0.48,-0.02
