,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
78,-7.68,81.16,209.73,201.26,218.83,-201,-0.28,0.15,0.93
79,-54.1,59.36,227.87,12.4,-149.23,-95,0.07,0.31,1.56
80,-24,22.83,204.23,-51.58,-179.08,52,-0.19,-0.61,-0.19
81,8.89,12.61,182.75,-9.64,17.43,85.41,-1.06,-0.19,0.98
82,3.63,36.16,196.35,247.1,152.82,-29,-0.95,0,0.97
83,-56.3,65.54,218.48,98.67,-75.63,-193,-0.28,-0.12,0.97
84,-54.9,66.22,222.57,-57.1,-139.36,-92,0.23,-0.29,0.54
85,-43.2,49.76,214.92,-49.1,-34,34.1,-0.41,-0.52,0.36
86,20.76,47.67,207.51,91.08,91.46,14,-0.9,0.1,1.34
87,21.46,56.5,224.88,120.01,118.53,-217,-0.75,0.19,0.83
88,-22.1,67.92,260.8,49.84,6.61,-211.4,-0.49,-0.45,1.47
89,-50.5,62.21,243.26,7.56,-58.18,-166.3,0.06,0.05,0.62
90,-51.2,57.84,228.05,4.09,0.48,80.15,-0.32,-0.23,0.71
91,25.11,29.73,186.22,105.89,39.41,82.85,-0.25,0.42,0.89
92,11.37,41.77,196.58,175.37,52.32,-84.7,-0.82,0.71,1.21
93,-27.5,60.67,251.39,-32.63,-16.84,-194,-0.59,-0.31,0.73
94,-36.8,23.09,241.95,-19.15,-13.46,-197,0.3,0.09,0.69
95,-4.72,0.83,200.73,-132.11,-99.58,96,-0.48,-0.67,0.16
96,16.79,30.1,186.71,79.82,47.39,43.73,-1.14,0.29,0.74
97,6.7,51.6,229.46,250.13,73.82,-106,-0.58,-0.3,0.98
98,-41.5,56.71,271.44,4.78,-145.53,-141,0.34,-0.08,0.85
99,-28.3,36.18,254.87,-126.11,-82.3,-18,-0.02,-0.53,0.09
100,7.34,44.83,232.85,-11.19,117.04,64.5,-1.12,-0.41,0.64
101,7.05,85.19,271.58,203.97,81.98,25.76,-1.3,0.09,0.69
102,-57.9,78.77,306.83,205.18,18.85,-160,-0.71,-0.5,0.93
103,-40.9,39.25,277.9,-19.21,-78.58,-109,0.11,-0.19,0.36
104,2.25,4.87,258.39,-43.05,42.73,28.14,-0.69,-0.17,0.44
105,22.82,18.24,260.69,181.51,-19.5,-223,-1.39,0.81,1.08
106,-16.7,46.9,297.84,-66.18,-149.14,-15,-0.43,-0.07,1.08
107,-54.1,43.48,289.81,-31.36,-130.65,8.6,0.06,-0.17,0.7
108,-35.4,22.69,251.51,55.25,48.66,81.78,-0.14,-0.51,0.34
109,4.17,-10.62,227.56,190.18,112.69,-64,-0.72,-0.05,1.3
110,25.79,7.72,226.77,14.49,-10.82,-208,-0.63,0.16,1.13
111,-9.18,46.48,270.74,-107.07,-76.8,-13,-0.03,-0.05,1.37
112,-63.3,33.26,305.27,-54.32,-124.44,16,0.51,-0.13,0.76
113,-40,-1.6,280.83,43.79,70,99.18,-0.1,-0.5,0.2
114,26.2,-2.94,250.22,216.13,148.98,-35,-1.06,-0.41,0.76
115,7.78,34.79,284.27,-48.89,-136.15,-15,-1.21,0.37,0.85
116,-64.7,29.94,309.04,-71.94,-3.07,101.1,-0.28,-0.02,1.41
117,-37.5,12.65,272.81,182.8,143.8,29.9,0.12,-0.26,0.33
118,1.39,-1.99,251.68,144.73,-21.33,-250,-0.65,-0.6,0.35
119,29.82,20.66,271.31,-94.77,-66.27,-143,-1.14,0.1,1.09
120,-37.8,38.3,311.29,-35.43,-53.28,5.34,-0.23,-0.05,1.01
121,-46.4,14.33,280.39,125.24,87.53,115.1,0.21,-0.34,0.44
122,7.26,-6.63,260.22,201.29,69,-145,-0.24,-0.41,0.51
