,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0,1.46,86.87,-2.89,0.89,0.03,0,1.04,-0.02
1,-0.15,1.63,85.86,-3.83,0.82,-0.51,0,0.99,0.01
2,-0.03,1.88,85.8,-0.69,1.17,-0.11,-0.01,0.97,0.02
3,0.55,1.92,86.38,1.94,0.61,2.11,0.01,1,0.02
4,1,2.33,84.23,-8.55,2.14,3.88,0.02,1.05,0.08
5,4.86,-7.86,88.71,17.11,-40.63,18.77,0,1.24,0
6,-15.55,25.42,87.12,-3.82,129.8,-60,-0.24,0.77,0.02
7,-2.28,29.86,83.06,-14.46,19.85,-8.77,-0.22,0.97,0.12
8,-3.05,13.98,83.87,5.81,-61.82,-11.73,-0.28,0.82,0.2
9,0.72,-4.69,85.54,8.58,-75.6,2.76,-0.29,0.94,0.07
10,3.98,-60.74,94.02,34.59,-227.08,15.3,-0.1,1.02,0.08
11,-6.36,-65.33,94.13,3.8,-30.93,-24.55,-0.28,0.92,0.01
12,-13.3,-75.87,97.71,16.71,-54.34,-51.4,-0.22,1.21,0.08
13,-10,-88.48,104.52,28.92,-60.58,-38.2,-0.25,0.94,0.09
14,5.6,-98.04,118.07,59.49,-55.08,21.47,-0.25,0.78,0.11
15,17,-120.96,121.25,19.84,-110.16,67.4,-0.25,1.01,0.14
16,0.4,-142.82,118.06,-5.94,-108.82,1.75,-0.2,1,-0.03
17,-26,-135.49,115.1,-5.38,4.57,-102.27,-0.21,0.97,0.06
18,6.9,-150.39,123.62,41.46,-84.53,26.82,-0.3,0.93,0.14
19,7.3,-147.79,129.75,32.74,-16.36,28.27,-0.29,0.98,0.09
20,9.9,-164.6,131.54,-20.28,-98.76,-15,-0.34,1.02,0.12
21,-4,-182,124.14,26.44,-90.85,-109,-0.32,1.07,0
22,-28,-196.86,128.8,17.58,-96.54,-14.1,-0.26,1.09,-0.1
23,-3,-212.32,130.62,4.55,-22.78,57.28,-0.31,0.97,0.33
24,14,-208.85,129.25,60.94,-54.02,39.56,-0.29,0.95,0.25
25,10,-212.89,141.79,-12.81,-93.28,-54,-0.49,1.02,0.05
26,-14,-227.39,136.02,-0.78,-103.28,-57,-0.17,1.09,0.16
27,-14,-243.33,133.2,30.73,-92.98,2.72,-0.33,0.96,-0.12
28,0.7,-258.04,138.97,18.37,-33.65,-5.94,-0.19,0.89,0.22
29,-1,-254.85,140.32,26.28,-148.33,45.7,-0.54,0.88,0.08
30,11,-280.69,144,38.29,-203.99,-5.3,-0.39,1,-0.01
31,-1,-319.17,150.18,-12.85,19.42,-84.2,-0.53,0.92,0.02
32,0,-21.9,0.01,55.87,-47.28,-4.6,-0.26,1.06,0.06
33,-1,-301.15,156.21,58.61,-89.21,53.47,-0.22,0.91,0.15
34,13,-310.07,166.92,-10.34,-104.43,30,-0.56,0.95,0.05
35,8,-322.86,160.31,2.45,-125.77,-45.1,-0.43,1.07,0.18
36,-11,-341.04,157.6,-4.3,2.72,-37.4,-0.14,1.05,-0.2
37,-9,-326.38,153.36,28.39,-47.16,33.51,-0.17,1.09,0.15
