,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-0.12,3.39,79.53,-1.36,2.41,-2.35,-0.03,0.97,0.17
1,-0.09,3.6,79.41,-0.44,0.85,-0.35,-0.06,0.98,0.17
2,0.21,3.97,79.7,1.11,1.51,0.81,-0.06,0.99,0.17
3,7.04,4.49,80.18,1.3,3.38,27.31,0.07,0.94,0.08
4,10.94,-0.48,79.61,-2.79,-18.37,42.25,0.1,1.07,0.07
5,-10.8,-36.62,98.42,61.68,12.79,-4.08,0.51,1.17,-0.2
6,0,-3.5,0,18.69,-155.11,-41,-0.09,0.88,-0.14
7,-6.5,-103.04,94.75,-25.8,-133.21,-13,-0.14,0.99,-0.28
8,-6,-125.9,102.22,16.44,-141.95,-23,-0.19,0.87,-0.11
9,6,-155.84,118.12,32.47,-109.85,-24,-0.18,0.93,-0.05
10,7.7,-163.63,117.21,68.6,-143.02,23.4,-0.27,0.83,-0.05
11,-3,-177.51,114.17,3.08,-58.54,29.75,-0.23,0.97,0.06
12,-15,-184.63,123.09,-5.27,-84.32,-11.7,-0.35,1.24,-0.08
13,6.1,-215.01,130.8,42.34,-59.63,-60.6,-0.24,0.88,-0.08
14,-10,-210.96,128.36,32.57,-142.18,28.1,0.49,7.31,0
15,5.4,-219.75,131.53,12.34,-43.02,21.7,-0.1,0.97,-0.04
16,-6,-228.58,134.76,-1.21,-19.6,-41.5,-0.26,1.01,-0.01
17,0.4,-234.77,128.87,21.99,-71.95,21.09,-0.13,0.9,0.15
18,5.3,-255.91,134.6,21.63,-72.85,-26.5,-0.29,0.87,0.11
19,-6,-251.48,134.21,-14.41,-63.44,1.72,-0.2,0.92,-0.01
20,-5,-255.21,134.37,32.73,-126.18,20.6,-0.22,0.98,0.02
21,7.2,-258.37,136.09,7.17,-24.84,-23.21,-0.37,0.94,0
22,-1,-259.98,141.21,11.08,-58.47,-22.5,-0.17,1,0.03
23,3.8,-271.64,142.48,9.61,-60.39,-38.31,-0.3,0.87,0.14
24,-1,-270.51,141.12,15.51,-36.19,25.84,-0.22,0.93,0.13
25,0,-260.93,141.49,30.8,-50.5,-5.9,-0.23,0.97,0.19
26,0,-259.71,141.63,15.66,-90.92,14.72,-0.28,0.94,0.12
27,7.4,-281.09,151.94,5.27,-41.24,-4.79,-0.26,1.06,0.1
28,0,-304.28,154.65,10.76,-6.69,-36.4,-0.27,1.1,-0.06
29,-6,-314.1,152.73,10.85,-43.35,-0.21,-0.13,0.93,0.07
30,-2,-325.07,150.27,11.77,-39.34,-3.4,-0.21,0.99,0.11
31,-6,-335.56,154.03,52.5,-130.02,28.7,-0.27,0.97,0.18
32,2.2,-343.22,159.98,23.05,-140.31,-1.2,-0.29,0.94,0.11
33,4.7,-337.57,159.96,4.99,-90.15,-26.57,-0.2,1.02,-0.14
34,5.6,-337.52,156.27,2.25,-96.33,-11.42,-0.22,0.96,-0.12
35,-9,-340.88,153.2,27.21,-96.71,-24.2,-0.24,1.06,-0.02
36,-7,-353.37,158.25,36.34,-86.71,8.73,-0.23,0.91,0.08
