yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
3.74,-46.08,124.3,7.48,-6.19,14.62,0.26,0.96,0.02
3.03,-47.19,124.27,8.18,-4.97,14.39,0.22,0.98,0.0
2.22,-54.17,133.38,7.45,-9.83,11.69,0.26,0.88,0.09
-16.0,-32.19,135.01,44.97,-32.98,8.56,-0.51,1.21,-0.0
-0.7,-26.05,126.14,17.24,75.98,-61.8,0.35,1.1,-0.15
15.0,-16.04,129.55,-25.29,22.27,-2.85,0.15,1.05,0.06
5.77,-8.41,133.89,20.96,37.4,58.07,0.29,0.89,-0.1
6.76,-19.21,130.02,26.85,30.95,22.28,0.23,0.95,-0.11
6.29,-34.73,133.14,-6.06,-42.45,26.02,0.17,1.09,-0.0
-12.0,-42.12,126.43,20.4,-64.08,24.27,-0.77,1.44,-0.15
0.41,-12.6,111.02,-15.47,-39.82,-48.0,0.65,1.17,-0.4
20.8,-20.35,120.39,-50.54,116.0,1.6,0.1,1.04,-0.3
6.59,-15.87,120.7,43.56,-32.24,80.26,0.16,1.01,-0.05
4.89,-17.73,121.9,7.69,16.17,25.35,0.23,1.01,-0.11
-0.6,-13.89,114.17,12.06,-7.98,18.87,0.29,0.89,-0.26
