yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
4.07,-51.8,115.99,7.26,-4.69,15.73,0.35,0.95,0.06
4.11,-51.74,115.95,6.85,-7.81,15.64,0.35,0.94,0.06
4.05,-52.48,115.89,7.76,-4.69,15.97,0.36,0.94,0.07
4.14,-52.36,115.96,7.93,-4.18,15.74,0.36,0.94,0.07
4.08,-52.14,116.04,3.85,-5.69,10.47,0.37,0.92,0.1
2.71,-52.31,115.1,19.67,12.37,10.83,0.34,0.93,0.07
2.81,-48.0,118.09,6.58,-13.58,2.89,0.15,0.98,-0.0
0.75,-50.26,117.79,19.26,14.45,-37.34,0.21,0.45,-1.17
-9.6,-45.0,121.13,137.82,79.8,-11.9,-0.18,1.06,-0.25
-3.1,-23.57,151.64,-86.77,61.05,45.89,0.13,1.01,-0.39
11.93,-7.01,126.86,-4.7,41.86,7.0,0.28,0.97,0.08
1.81,3.41,123.33,31.17,26.13,11.76,0.32,0.94,0.03
3.04,9.13,129.09,11.61,-11.47,17.53,0.34,0.95,0.02
4.54,5.15,129.65,13.52,2.43,13.89,0.35,0.95,0.03
3.6,4.77,130.63,5.68,-5.58,15.99,0.34,0.95,0.02
4.14,2.38,129.61,8.66,-0.23,15.24,0.34,0.95,0.01
3.95,1.44,129.39,6.85,-5.8,16.37,0.35,0.95,0.02
4.24,-0.85,128.73,8.07,-6.4,16.33,0.36,0.94,0.01
4.23,-3.21,128.38,6.6,-7.03,15.71,0.33,0.94,0.07
4.07,-5.67,127.65,-4.8,-25.06,16.83,0.33,0.94,0.07
