yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
3.86,-47.08,123.37,7.27,-5.01,14.91,0.26,0.96,0.02
3.85,-47.01,123.23,7.33,-4.77,14.81,0.27,0.96,0.02
0.18,-54.08,123.03,7.81,-32.85,0.69,0.34,0.95,0.1
6.85,-51.77,134.15,53.47,3.7,26.34,0.36,1.01,-0.21
-8.6,-48.5,130.26,-6.18,7.08,-33.4,0.23,0.91,-0.07
16.6,-48.2,133.27,19.05,-6.91,64.21,-0.04,1.3,-0.05
9.34,-47.15,127.46,-14.79,-2.7,35.92,0.09,1.02,-0.15
5.63,-47.22,129.03,14.69,-5.52,21.73,0.25,0.97,-0.01
4.33,-52.01,132.47,21.94,-25.06,16.73,0.19,0.95,-0.04
4.03,-52.1,139.95,37.85,-8.23,15.48,0.05,1.06,-0.11
-9.8,-34.87,129.44,-29.81,64.44,-38.0,0.36,0.85,-0.26
11.86,11.62,159.94,134.23,185.79,45.6,0.46,0.7,0.21
9.77,5.47,152.04,-16.85,-21.95,37.7,0.09,0.91,-0.37
5.95,-1.67,143.14,-23.51,-25.94,22.9,0.21,1.0,-0.14
3.77,-1.18,144.07,14.71,4.15,14.51,0.27,0.97,0.01
