yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
4.07,-51.9,115.08,7.73,-5.48,15.91,0.38,0.93,0.09
5.22,-60.36,98.65,7.47,-5.29,15.65,0.38,0.92,0.08
3.36,-74.87,117.68,-58.57,-39.5,20.1,0.36,1.09,0.24
-17.0,-99.44,105.36,79.69,-66.37,12.97,0.22,1.18,0.07
-1.4,-71.23,102.9,-42.98,-109.72,-66.0,0.06,0.79,-0.16
19.7,-82.89,101.6,-5.04,98.95,-5.42,0.23,1.37,-0.28
6.47,-84.54,99.63,-1.62,-56.76,75.77,0.12,0.98,-0.11
4.35,-84.64,99.94,-3.6,-17.55,24.96,0.27,0.99,0.01
3.2,-90.59,105.61,5.34,-11.4,16.72,0.26,0.93,0.05
-11.0,-105.32,100.85,27.97,-34.34,12.34,0.31,0.85,0.15
-4.74,-80.29,95.22,-13.41,-77.0,-45.0,-0.39,1.08,0.0
22.36,-55.32,97.26,-16.74,87.34,-18.2,0.4,0.87,0.1
10.54,-59.38,92.12,12.12,87.35,86.34,-0.02,1.46,0.51
6.37,-59.04,94.25,-17.66,-23.44,40.5,0.2,1.07,-0.06
2.79,-52.93,101.2,11.56,-5.63,24.58,0.27,0.96,-0.07
