yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-1.9,453.6,-71.06,-2.54,137.05,-29.0,0.12,-0.97,-0.11
5.49,400.57,-71.33,-14.08,58.85,20.73,0.12,-0.99,0.01
3.99,421.42,-71.2,-21.73,24.42,-45.4,0.44,-1.03,0.26
-1.8,431.99,-58.29,10.65,57.29,2.98,0.15,-1.09,-0.14
-11.0,409.58,-56.41,13.98,134.16,40.79,0.06,-0.94,-0.22
-4.6,417.78,-64.52,-0.16,64.18,-7.4,0.13,-0.76,0.05
4.05,423.77,-69.05,-3.24,-81.12,-36.6,0.09,-1.01,0.03
1.03,448.49,-63.53,5.13,9.47,19.6,-0.08,-0.91,-0.08
-10.0,456.28,-59.14,2.4,147.53,15.4,0.07,-0.95,-0.14
-7.3,455.46,-54.12,53.44,110.92,-7.12,-0.07,-0.93,-0.13
4.62,450.27,-57.98,11.16,-21.21,-45.6,-0.06,-0.97,0.03
3.34,456.01,-58.12,-27.87,98.3,-18.0,0.19,-0.97,-0.03
-0.9,473.53,-58.64,-15.85,92.75,15.58,0.18,-1.02,-0.15
-12.0,475.65,-57.24,23.48,169.19,3.98,0.05,-1.02,-0.16
2.5,460.62,-55.79,20.4,103.93,-40.9,-0.1,-0.87,-0.11
7.09,451.31,-60.14,23.5,68.84,-28.24,0.16,-1.02,0.08
-3.1,470.75,-59.85,-11.26,53.57,17.77,0.04,-1.13,0.12
-2.7,460.11,-52.17,3.59,95.45,12.85,0.28,-1.07,-0.17
-7.2,450.67,-56.53,0.25,135.71,-3.31,0.04,-0.98,-0.18
-2.3,444.65,-60.59,8.95,85.07,-47.58,-0.08,-0.95,-0.1
2.64,456.27,-63.92,-14.12,38.48,27.25,0.2,-0.93,0.1
0.0,10.19,0.59,4.57,151.92,-12.04,0.09,-0.74,-0.06
4.73,464.16,-56.47,33.74,34.49,-10.43,0.18,-0.98,-0.09
-7.2,451.07,-54.2,-12.18,36.53,-27.8,0.06,-0.93,-0.04
-4.4,439.89,-59.65,-10.85,44.78,-8.53,-0.0,-1.02,0.08
-1.5,439.66,-62.6,32.4,105.86,18.2,0.35,-0.93,0.05
-1.6,451.33,-61.07,13.17,22.66,-27.95,0.14,-1.11,-0.14
-10.0,449.63,-55.5,-16.93,26.5,-16.8,0.07,-0.98,-0.13
-5.0,452.67,-54.36,-8.18,70.9,-6.12,-0.09,-0.96,0.02
-2.5,444.64,-61.45,9.6,118.47,-6.47,0.11,-0.96,0.06
4.88,448.05,-62.35,25.81,65.24,-41.41,0.09,-0.96,-0.06
-2.2,443.69,-65.98,9.02,84.17,-19.54,-0.03,-0.87,-0.11
-12.0,438.92,-65.34,-23.53,40.06,-9.6,-0.04,-0.93,-0.1
-1.1,428.93,-61.54,-0.98,86.63,18.85,-0.04,-1.03,0.09
-0.7,423.75,-61.15,-12.44,56.82,-8.73,0.15,-1.0,0.15
