yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
3.86,-42.8,125.32,8.34,-4.22,14.92,0.24,0.97,0.03
3.88,-43.21,125.13,7.16,-6.27,14.97,0.24,0.98,0.02
2.38,-46.68,125.07,7.42,-18.85,9.16,0.21,0.95,-0.04
2.62,-47.59,122.86,-0.62,-8.69,10.12,0.26,0.93,0.09
-0.3,-44.51,123.52,10.15,6.73,-1.31,0.21,0.98,0.1
-6.9,-44.22,124.22,8.59,-6.06,-26.9,-0.01,0.98,0.04
14.8,-40.37,144.48,91.52,10.73,57.0,0.24,0.82,-0.41
7.12,-28.42,121.39,-81.03,40.76,27.47,-0.12,1.25,-0.42
10.5,-48.16,113.43,-22.69,-80.08,40.5,0.47,1.03,0.21
0.93,-47.29,112.54,2.82,-1.61,3.57,0.28,0.93,-0.01
-3.5,-45.91,117.92,27.24,-0.24,-13.82,0.2,0.98,-0.08
-7.2,-59.25,122.83,24.9,-61.28,-27.9,-0.03,1.13,-0.08
19.5,-37.6,128.13,28.98,77.37,75.08,0.02,0.94,-0.26
2.15,-51.06,124.35,-5.28,-62.05,8.31,-0.18,0.83,-0.31
5.19,-46.14,119.35,-10.92,15.05,20.05,0.42,1.05,0.13
