yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
3.77,-45.83,123.68,7.79,-5.44,14.54,0.27,0.96,0.02
3.73,-45.94,123.66,7.77,-5.31,14.34,0.27,0.96,0.01
-5.6,-49.95,113.82,-28.18,-18.72,-21.0,0.4,0.65,-0.28
0.33,-65.83,128.62,64.58,-72.6,1.27,-0.08,1.09,-0.12
-16.0,-73.85,119.31,-30.58,-42.31,-63.0,0.04,1.03,-0.04
24.6,-80.48,104.4,-52.73,-36.32,95.2,0.42,1.68,0.21
9.18,-76.46,108.64,21.29,3.59,35.31,0.05,1.09,-0.24
7.97,-83.04,101.15,-24.89,-36.53,30.7,0.24,0.96,-0.02
6.03,-82.86,96.91,-12.11,-9.49,23.28,0.35,0.98,0.0
6.7,-112.57,109.46,56.26,-128.19,26.0,0.53,0.96,-0.06
-13.0,-90.48,104.19,-13.98,74.13,-51.7,0.34,0.8,-0.15
7.17,-93.33,142.19,159.48,-21.01,27.4,0.34,0.56,-0.19
12.0,-95.43,137.64,-7.85,-22.94,46.32,0.06,0.99,-0.22
4.75,-89.45,137.59,9.49,10.64,18.36,0.22,1.03,-0.07
5.12,-90.79,134.21,-3.02,-16.8,19.7,0.31,0.94,-0.0
