yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-2.87,-40.42,36.85,8.83,0.96,-11.08,0.66,0.14,0.69
1.83,-30.12,37.34,7.44,39.49,7.07,0.47,0.05,0.87
-11.1,-24.91,28.84,-29.52,21.6,-43.0,0.54,0.14,0.79
-20.52,-1.25,60.93,68.76,52.39,-63.58,6.0,-16.53,0.0
18.71,2.91,89.01,61.49,37.15,-73.56,0.17,0.07,0.9
25.51,1.94,46.82,112.09,15.47,72.24,0.19,0.57,0.96
-23.45,1.76,3.25,-162.66,1.22,98.12,-0.06,0.45,0.19
-58.0,13.37,-17.89,-167.5,5.25,-90.5,0.51,0.79,0.46
-17.9,17.12,-6.87,-80.11,51.53,-224.0,0.55,-0.02,0.79
-32.06,28.0,28.54,42.4,22.15,-69.12,0.58,-0.57,0.93
0.68,27.58,50.32,136.97,48.11,-122.0,0.54,-0.11,0.9
24.56,24.44,27.14,83.05,-0.65,2.61,0.2,0.33,0.87
-1.41,15.96,-12.2,-95.14,-4.72,94.83,-0.24,0.55,0.27
-34.0,16.63,-43.81,-144.97,-22.69,-5.0,0.28,0.68,0.22
-41.5,23.11,-56.82,-126.97,10.98,-131.0,0.65,0.28,0.86
-27.7,35.1,-49.37,-56.15,33.85,-159.0,0.58,-0.23,0.79
-19.3,39.54,-25.22,21.6,56.26,-106.7,0.56,-0.33,0.82
8.2,46.08,8.01,85.34,27.19,-74.51,0.48,-0.1,0.89
24.47,43.89,-4.48,124.47,29.94,31.66,-0.15,0.26,0.4
-16.0,16.18,-56.45,-59.02,1.05,94.47,0.23,0.77,0.33
-37.1,17.57,-73.82,-127.64,-44.95,20.0,0.59,0.39,0.73
-39.6,24.35,-61.71,-83.76,-40.33,-57.0,0.66,-0.15,0.96
-11.4,34.15,-24.86,-76.52,14.04,-142.0,0.58,-0.22,0.74
18.27,38.56,-18.63,37.24,33.53,-152.4,0.46,-0.08,1.12
17.95,29.09,-50.49,137.03,43.35,-44.3,0.0,0.1,0.74
-38.0,22.25,-86.5,11.58,25.4,70.25,0.16,0.55,0.29
-36.4,33.56,-99.35,-134.98,-25.94,69.0,0.64,0.44,0.74
-34.0,49.36,-91.06,-152.06,-16.74,-14.0,0.65,-0.1,0.83
26.78,65.21,-43.88,-62.28,52.97,-140.0,0.43,-0.32,0.83
7.91,54.03,-86.39,17.46,74.09,-131.3,0.58,-0.02,0.93
-54.0,57.1,-122.21,130.34,37.44,-17.1,0.04,0.14,0.86
-15.0,58.26,-117.33,22.46,42.9,95.63,0.16,0.47,0.21
-24.2,68.78,-86.7,-181.13,-27.89,30.0,0.76,0.38,0.79
29.84,71.78,-71.9,-154.89,26.97,-212.0,0.75,-0.41,0.91
-6.1,58.69,-102.88,1.3,18.99,-58.59,0.57,-0.15,0.88
-48.0,60.07,-131.84,103.85,55.1,-93.5,0.37,0.06,0.95
-22.0,62.26,-120.84,101.62,30.24,15.26,-0.08,0.37,0.57
-13.0,63.5,-115.42,-73.95,6.79,106.58,0.3,0.62,0.28
18.11,72.8,-70.59,-137.37,-33.86,-23.0,0.79,0.14,0.78
25.93,65.13,-96.31,-129.85,21.35,-188.0,0.74,-0.39,0.8
-17.0,59.53,-130.72,1.11,18.54,-52.1,0.48,-0.17,0.85
-38.0,70.51,-127.67,87.45,64.2,-134.7,0.38,0.13,0.91
-23.0,71.38,-116.23,44.63,-2.66,64.69,0.12,0.29,0.72
-23.0,67.96,-107.45,-119.82,-13.05,100.0,-0.0,0.51,0.4
-9.41,81.51,-78.64,-152.98,-5.79,-65.0,0.52,0.44,0.51
34.16,91.8,-71.64,25.2,19.46,-91.48,0.75,-0.04,0.93
8.16,73.62,-113.15,14.39,1.01,-92.4,0.38,-0.28,0.96
-54.0,89.5,-130.53,95.79,64.73,-36.35,0.39,0.02,0.7
-20.0,88.76,-119.24,5.78,54.33,131.38,0.36,0.25,0.95
-24.2,92.45,-92.67,-180.94,-51.21,31.0,-0.08,0.31,0.98
-4.47,92.89,-61.33,-85.11,79.92,-209.0,0.0,0.36,0.21
29.71,87.62,-71.13,24.6,15.84,-78.18,0.85,0.32,0.81
-14.0,68.57,-126.2,84.62,31.98,-93.58,0.51,-0.37,0.97
-47.0,80.18,-132.19,96.59,13.08,-15.95,0.44,-0.03,0.84
-33.0,95.56,-102.99,-59.25,-4.4,114.7,0.31,0.33,0.91
2.66,97.63,-69.87,-232.84,-54.73,-56.0,-0.2,0.49,0.51
26.4,94.32,-98.31,-41.73,61.62,-183.0,0.12,0.55,0.26
-35.0,85.0,-128.73,93.45,78.01,-128.1,0.91,0.1,0.83
-12.0,85.87,-117.68,110.21,20.76,10.25,0.46,-0.32,0.98
-32.7,94.54,-90.86,-133.58,7.78,101.5,0.46,0.31,1.09
12.44,90.3,-59.47,-195.52,-42.12,-12.0,-0.18,0.37,0.4
