yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
3.78,-49.73,119.83,7.62,-5.65,14.59,0.31,0.95,0.03
3.8,-49.6,119.91,7.92,-4.67,14.61,0.3,0.96,0.04
4.01,-49.31,120.11,8.34,-4.06,15.44,0.29,0.96,0.03
2.02,-47.1,126.89,34.96,3.79,7.82,0.29,0.92,0.03
1.68,-46.66,125.28,1.98,-3.4,6.47,0.25,0.94,-0.08
-5.1,-45.97,128.39,19.95,-2.93,-19.92,0.2,1.02,-0.01
-5.2,-46.33,134.56,33.98,-6.04,-20.32,0.34,1.06,-0.11
23.9,-33.2,134.94,9.37,45.44,92.02,0.03,0.96,-0.07
7.85,-60.33,122.72,-39.22,-111.78,30.0,0.27,0.91,0.0
4.42,-48.24,129.05,34.66,42.79,16.98,0.43,0.91,0.07
1.0,-49.14,131.01,16.44,-9.11,3.88,0.25,0.99,0.01
-10.0,-46.81,135.02,23.61,2.24,-40.25,0.08,0.97,-0.04
23.6,-61.34,143.88,51.11,-59.69,91.32,0.97,0.96,-0.7
2.25,-45.64,131.49,-37.03,50.63,8.64,-0.36,1.24,-0.45
7.39,-51.92,125.4,-14.24,-28.98,28.4,0.4,1.01,0.01
