yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
4.04,-48.77,120.59,7.76,-5.46,15.76,0.3,0.96,0.04
3.44,-48.56,121.17,7.61,-5.73,15.6,0.28,0.96,0.03
6.33,-44.83,120.34,9.91,-4.37,13.29,0.3,0.97,0.02
2.93,-47.4,118.54,4.44,9.97,24.44,0.25,0.95,-0.02
-2.3,-45.82,120.77,0.02,-15.16,11.31,0.09,0.96,-0.05
-6.7,-47.34,124.43,15.72,0.95,-9.19,0.37,0.83,-0.38
-9.05,-8.12,143.78,20.72,-12.6,-25.9,-0.42,0.87,-0.45
24.0,-22.36,121.22,88.21,153.06,-34.8,0.21,0.79,-0.31
6.84,-26.89,105.05,-76.44,-62.25,92.6,0.29,0.98,-0.08
3.73,-26.88,107.09,-55.47,-19.43,26.2,0.3,0.97,-0.1
4.07,-28.46,108.83,13.37,-1.65,14.4,0.31,0.97,-0.09
4.03,-29.41,109.01,12.74,-7.74,15.67,0.3,0.98,-0.09
3.94,-29.88,109.09,6.71,-5.64,15.55,0.29,0.98,-0.12
3.73,-30.71,109.2,6.3,-3.79,15.15,0.3,0.97,-0.09
3.93,-31.22,110.32,6.37,-5.46,14.41,0.3,0.97,-0.1
