,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0,-19.95,-70.49,-2.08,-4.15,-0.39,0.36,-0.95,-0.06
1,-0.2,-21.94,-70.53,-0.3,-6.78,-0.71,0.36,-0.95,-0.06
2,-2.1,-21.56,-70.93,-2.12,1.6,-8.24,0.39,-0.94,0.04
3,21.1,-28.57,-21.01,199.1,-32.85,81.5,-0.25,-1.67,0.91
4,7.26,-42.6,39.93,250.13,-55.8,28,0.45,-0.67,0.25
5,3.54,-48.51,46.78,25.08,-24.93,13.61,0.54,0.77,-0.08
6,-16.7,-43.88,25.94,-170.66,-64.76,-61,0.16,-0.26,0.72
7,-8.9,-84.12,-69.49,-205.08,-154.23,75,0.65,-1.4,0.92
8,-60,-13.89,-35.99,3.71,35.99,-34.63,0.59,-1.04,0.32
9,15.97,7.14,-14.01,119.46,91.43,-235,0.07,-0.18,0.39
10,42.71,-0.39,-23.53,106.3,104.35,-250,-0.45,0.59,0.67
11,64.7,-54.38,-39.54,-27.27,-23.07,61.4,0.15,0.13,0.71
12,0,0,3,-41.98,-27.11,164,0.61,-0.62,0.03
13,-14,-68.84,-23.02,-60.9,-210,250,0.57,-0.88,-0.05
14,-6.45,-26.37,38.01,-1.77,-172.8,109,0.47,-1.36,0.62
15,25.64,-56.47,88.86,-4.06,9.31,-15.03,0.71,-1.37,0.8
16,-4.94,-59.24,71.7,250.13,163.62,-24,0.45,0.16,-0.08
17,-2.9,-98.81,-26.6,206.79,-113.82,98,0.37,-0.83,0.71
18,20,-120.79,-53.46,-121.4,-126.75,-3,0.79,-1.2,0.54
19,2.9,-72.48,-56.08,-250.14,-44.73,-11,0.43,-0.93,0.16
20,-21,-46.46,-31.47,-104.02,-99.27,79,1,-0.97,0.58
21,-6,-38.97,0,-8.76,177.38,11.11,-0.33,0.37,0.66
22,40.32,-30.5,-0.43,96.34,99.69,-81.3,0.64,-0.34,0.45
23,33,-86.83,-37.57,-25.72,-0.24,155.6,0.58,-0.91,0.18
24,2.5,-110.95,-44.65,-73.95,-105.5,250,0.49,-1.58,0.93
25,-22,-129.51,-2.4,-30.78,-196.55,11,0.49,-0.81,0.47
26,20.82,-64.91,58.13,171.81,-90.1,-86,0.68,0.87,-0.2
27,10.32,-69.93,76.24,250.13,242.5,80,0.29,-0.48,0.38
28,20.35,0,0,73.8,-24.52,39.69,0.38,-1.42,0.83
29,-24.7,-96.29,-5.14,-235.99,-45.95,-95,0,0,175.15
30,16,-134.64,-64.88,-231.87,-167.67,63,0.8,-0.87,0.1
31,-7.3,-85.99,-79.85,0.02,111.06,1.23,0.91,-1.01,0.23
32,0.32,-56.53,-78.53,145.43,250.13,-248,-0.04,-0.09,0.37
33,6.55,38.54,-23.27,-9.05,-36.82,25.29,-0.57,0.42,0.73
34,54.15,12.58,-47.54,-100.89,-100.61,20,-0.17,0,0.54
35,64.7,-41.9,-69.61,-41.43,-111.15,46,0.42,-0.9,-0.15
36,-1.5,-46.41,-76.83,76.89,62.3,-35.27,0.49,-1.43,0.94
37,-9.1,-29.71,-56.78,242.9,198.46,82.3,0.5,0.25,-0.09
38,28.73,-18.02,50.89,185.41,-139.92,110,0.48,0.81,0.35
39,-6.2,-27.94,41.05,-39.9,-38.1,-23,0.55,0.27,0.34
40,-24.1,-36.37,1.01,-158.02,-30.06,-93,0.28,-0.98,-0.16
41,-24,-49.73,-62.7,-246.18,-58.45,-93,-0.55,0.25,0.58
42,16,-108.34,-86.63,26.81,52.98,44.57,-0.3,0.28,0.69
43,11.5,-91.42,-79.35,0,21.23,-0.94,0.34,-0.35,0.11
44,-27,-68.5,-64.98,19.18,-6.96,-104.6,1.12,-1.19,-0.21
45,-27,-21.9,-38.53,-23.55,-22.22,131,0.59,-1.7,0.76
46,34.2,-25.69,-42.04,-58.45,-245.07,250,0.34,-1.07,0.43
47,65,-87.54,-56.74,120.41,135.77,-153,0.46,0.26,0.11
48,48,-117.98,-53.13,226.06,136.4,33.3,0.51,0.77,0.22
49,-39,-131.86,-19.7,148.4,28.35,104.2,0.06,-0.68,0.64
50,8.68,-93.21,35,-120.1,-76.46,-10,0.78,-1.28,0.75
51,27.11,-84.73,71.81,-215.02,-75.48,-12,8,0,358.17
