,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.04,-12.94,-78.63,-5.53,4,0.76,0.26,-0.98,-0.02
1,-0.3,-13.63,-77.92,2.11,-2.31,-1.4,0.26,-0.97,-0.05
2,-1.4,-12.51,-77.95,-0.51,4.63,-5.45,0.25,-0.97,-0.03
3,-0.6,-16.12,-78.02,-1.56,-13.29,-2.32,0.35,-0.96,-0.01
4,-1.4,-20.51,-76.93,3.85,-17.8,-5.69,0.26,-0.96,-0.01
5,-0.9,-22.02,-79.63,-11.38,-6.76,-3.53,0.28,-0.95,-0.06
6,0.01,-22.73,-78.93,2.34,11.53,0.04,0.34,-0.97,0
7,0.01,-19.71,-78.01,223.58,-95.37,-7.8,0.24,-1.74,0.97
8,17.97,-17.69,39.01,250.13,97.59,69.38,0.54,0.24,0.27
9,6.64,-28.7,56.82,-172.51,-66.32,-29,0.54,-0.89,0.13
10,-7.73,-46.29,12.52,-143.84,-75.02,46,-0.75,0.36,0.54
11,-4.5,-28.87,-51.84,26.75,79.81,19.28,-0.26,0.32,0.55
12,0,0,7.34,28.56,23.88,1.26,0.95,-1.11,0.08
13,5.01,-26.2,-80.15,-83.24,-83.78,164,0.31,-1.41,0.71
14,0.33,61.39,-13.55,-48.26,-250.14,250,0.49,0.1,-0.04
15,42.87,38.91,-32.66,-46.31,-16.86,170,0.35,0.76,0.21
16,44.4,-32.06,-56.22,123.29,33.17,-18.2,0.52,0.2,0.4
17,-91.97,0,97,250.13,76.71,13.76,0.2,-1.34,0.35
18,3.58,-57.81,36.32,195.45,-8.01,28.13,0.42,-1.09,0.51
19,7.29,-60.59,83.92,-69.69,-9.19,-38.2,-0.3,0.02,0.48
20,-9.94,-61.42,65.64,-170.95,-80.7,-39,0.22,-0.01,0.55
21,-10.1,-80.99,21.17,5,0,0,0.59,-1.08,0.01
22,3.98,-84.71,-70.23,-131.48,-42.16,15,0.69,-1.6,0.87
23,8.17,-62.36,-60.2,37.56,81.69,31.4,0.34,-0.72,0.44
24,-14,-58.36,-48.15,48.08,9.12,-53.95,0.46,0.6,0.02
25,-63,-20.33,-14.4,120.83,71.89,-186,0.41,0.68,0.36
26,48.5,-44.19,-21.67,-55.98,-47.82,123,0.78,-1.36,0.96
27,53.8,-73.76,-35.31,-97.87,-130.31,186,1.14,-0.83,0.19
28,24.5,-91.12,-45.39,-36.21,-76.78,94.4,0.43,-1.02,0.11
29,-17.15,-48.51,3.67,188.8,34.69,-65.9,-0.6,0.26,0.61
30,-3.42,-7.94,62.02,242.75,158.34,-13,-0.2,0.32,0.62
31,13.8,-16.75,88.51,108.03,-30.69,53.2,0.27,-0.92,-0.13
32,-15.6,-24.23,61.9,-205.79,23,-31,0.39,-1.16,0.58
33,-13.5,-0.91,-52.92,-202.98,17.53,59.4,0.51,-1.28,0.7
34,16.24,15.09,-53.38,-30.53,62.82,-52.2,0.78,0.82,-0.06
35,-32.2,25.02,-17.95,0.37,67.6,62.47,0.5,-1.04,0.88
36,-65.04,59.9,17.41,142.11,47.54,-124,0.61,-0.92,0.22
37,47.29,43.03,5.2,144.61,148.45,-250,0.47,-1.04,0.42
38,54.87,21.18,-18.74,20.15,19.17,-42.5,1.09,-1.16,0.46
39,2.79,3.05,-34.4,-69.64,-76.08,181,-0.11,0.05,0.49
40,-12.3,10.69,-25.7,10.86,81.84,10.77,1.04,-1.12,0.04
41,-10.8,43.1,33.24,38.95,33.94,-47.66,0.73,-0.94,-0.08
42,38.06,57.41,76.9,240.07,134.11,-41,0.16,-0.63,0.63
43,-0.43,17.25,-59.4,9,0,0,0.48,0.64,0.06
44,-3.76,12.83,-53.21,-17.79,-16.93,7.63,0.56,0.6,0.32
45,-65,49.26,-23.03,-121.04,-106.76,27,0.2,-0.55,0.65
46,0,0,4,9.56,-14.38,-1.68,0.52,-0.99,0.29
47,-51.39,66.62,9.26,24.83,-11.37,-14.5,0.64,-0.31,0.48
48,28.18,45.99,-0.1,119.54,154.6,-250,-0.62,0.53,0.66
49,54.59,25.07,-6.98,-40.69,-74.94,108,0.96,-0.79,0.43
50,61.1,-13.51,-19.41,-43.22,-143.12,234,0.5,-1.08,0.06
51,13.1,-36.28,-29.4,0,324.96,79.85,0.8,-0.95,0.14
52,-6,-15.65,-24.78,175.47,60.67,-116,0.34,-0.06,0.16
