,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-4.13,-25.49,7.6,-187.74,-106.21,-8,0.36,-0.11,0.35
1,9.75,-35.46,-59.41,-239.06,-37.37,34,0.64,-1.24,1.11
2,10.6,-49.8,-79.46,-79.41,-59.57,40.9,0.45,-1.08,0.23
3,-64.79,4.8,-55.39,13.08,87.61,30.42,0.72,-0.93,0.09
4,-65,33.16,-24.46,74.33,132.82,-250,1.31,-1.29,0.24
5,17.99,26.75,-28.84,120.05,113.53,-250,-0.04,-0.25,0.4
6,62.2,-13.93,-38.47,-26.92,-25.63,69.2,-0.48,0.49,0.56
7,51.8,-28.86,-55.75,-43.43,-150.28,240,0.54,0,0.36
8,12.5,-71.07,-58.98,-12,-169.27,48,0.55,-1.03,-0.08
9,-3.5,-49.58,-58,5.44,78.17,-13.53,0.39,-0.97,-0.04
10,-20.2,-64.68,-4.22,250.13,64.37,9.81,0.34,-0.64,0.19
11,2.55,-47.09,56.03,51.7,-43.55,15.87,0.32,0.87,-0.27
12,4.11,-56.8,69.22,47.47,73.78,-250.1,0.44,-0.74,0.57
13,6.02,-75.85,37.97,-17.36,229.19,-250,0.65,-0.92,0.13
14,0,0,6,-6.01,-17.79,67.31,1.35,-1.29,0.24
15,2.78,-79.1,-27.57,-55.35,-207.25,250,0.3,-0.26,0.27
16,5.45,-95.9,-58.99,-35.92,-83.69,92,-0.44,0.3,0.66
17,-65,-87.87,-46.2,5.88,-0.35,-17.17,0.01,-0.08,0.35
18,-65,-28.71,-49.98,49.42,34.84,-67.21,0.63,-1.06,0.08
19,17.5,-30.75,-48.66,250.13,69.91,-8.67,0.31,-0.94,-0.11
20,64.7,-81.14,-60.97,224.17,-130.11,23,0.65,-1.4,0.86
21,0,0,3,-180.09,-116.89,-5,0.55,0.27,-0.52
22,-4,-144.14,-69.9,16.37,-30.15,42.85,0.46,-0.49,0.36
23,-17,-130.73,-56.93,83.42,166,-109,0.85,-1.15,0.49
24,-2.25,-108.91,5.68,146.78,44.26,-250,1.19,-0.95,0.55
25,6.02,-138.63,61.96,44.11,28.71,-106.1,-0.51,0.17,0.6
26,-10,-146.57,38.76,-99.34,-248.14,250,1.05,-1.2,-0.2
27,-14,-171.38,-9.33,3.3,3.46,220.31,0.35,-0.97,-0.04
28,-10,-171.21,-68.79,250.13,72.46,61.86,0.53,0.83,-0.27
29,11,-144.87,-68.43,-17.24,-24.44,-8.1,0.66,0.08,0.37
30,-28,-99.17,-46.93,-242.28,14.42,-80,0.1,-1.13,0.67
31,-65,-86.04,-9.85,-223.27,-179.07,-7,0.35,-1.14,0.3
