,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-24.5,-137.61,4.65,-23.38,140.95,-94,1.23,-0.08,-0.66
1,3.45,-120.67,6.88,9.19,59.63,13.27,1.25,0.07,0.05
2,8.63,-115.46,30.14,94.74,12.63,33.34,1.04,-0.01,0.4
3,-12.4,-50.1,66.66,147.02,250.13,-47,0.9,0.75,0.98
4,-3.73,-33.16,36.06,69.17,89.31,93.94,-0.01,0.38,0.16
5,-64.7,-44.96,12.66,-173.16,-29.21,-13,0.29,0.75,0.67
6,-38.6,-10.23,62.46,-89.05,-49.6,-250,0.4,0.09,1.11
7,30.18,-4.94,79.13,198.43,130.8,-148,-0.18,0.43,0.04
8,1.47,0.09,44.95,66.44,15.92,116.54,0.2,0.82,0.32
9,-41.8,-25.44,-3.54,-135.21,21.47,5.69,0.22,0.18,1.21
10,-65,-14.45,29.32,-189.16,-101.07,-1,0.34,0.4,1.1
11,22.91,-10.37,84.87,128.05,42.55,-250,-0.3,-0.04,0.39
12,-53,-16.08,-14.24,228.84,8.14,88.47,0.37,0.76,0.26
13,-65.04,14.16,17.95,-184.89,66.28,107,0.47,0.16,1.44
14,12.87,29.84,59.63,-189.1,-76.88,-19,0.52,0.25,1.52
15,30.16,39.94,47.61,125.25,121.57,-250,-0.42,0.1,0.45
16,-16.91,1.4,-13.7,168.97,58.53,49.69,-0.04,0.58,-0.05
17,-69.79,9.51,-0.75,-52.2,44.78,116.4,0.32,0.68,0.65
18,-13.64,32.54,53.08,-245,-145.02,-6,0.08,0.27,1.24
19,28.44,36.17,62.9,44.47,31.07,-250.1,-0.46,0.44,0.38
20,16.45,41,9.15,210.5,88.02,-52.6,-0.36,0.4,0.05
21,-38.25,6.41,-28.78,40.2,13.06,109.39,0.29,0.77,0.49
22,-65.04,25.14,0.05,-214.6,28.13,63.5,0.19,0.26,1.25
23,5.75,37.01,41.25,-152.96,-131.15,-1,0.41,0.1,1.33
24,20.97,53.64,39.24,110.24,78.79,-250,-0.54,0.34,0.34
25,-1.64,31.76,-19.09,149.6,40.94,20.6,-0.02,0.74,0.03
26,-65,13.06,-26.13,-15.48,72.54,80.95,0.22,0.57,0.53
27,-65.04,24.75,30.7,-235.44,-76.8,-6,0.18,0.22,1.26
28,20.16,11.01,44.52,-32.82,-68.56,-250,0.06,0.67,0.75
29,-36.02,4.83,-25.46,216.83,49.47,-250,-0.96,0.34,0
30,-65.04,19.66,14.33,57.44,-62.65,77.82,0.11,0.71,-0.01
31,-0.07,26.57,63.26,-111.66,38.21,122,0.13,0.23,1.41
32,25.57,36.65,59.56,-161.74,-51.87,-12,0.28,0.34,1.11
33,-18.2,-8.56,-8.79,152.73,62.37,-250,-0.46,0.39,0.39
34,-65.04,-8.91,4.61,193.08,24.43,-0.26,0.01,0.61,-0.1
35,-22.44,5.04,58.08,-17.7,44.91,98.73,0.55,0.52,0.91
36,29.16,2.37,67.86,-250.14,-159.18,-6,0.21,0.35,1.08
37,16.18,15.04,9.48,49.49,-1.09,-250.1,-0.35,0.62,0.56
38,-36.9,-7.88,-19.28,208.78,51.05,-86.6,-0.3,0.42,0.16
39,-65,-14.76,-6.68,40.45,-15.36,112.6,0.24,0.76,0.42
40,-24.26,-4.97,55.2,-233.12,53.83,62.4,0.31,0.31,1.21
41,29.78,2.53,63.78,-115.94,-87.16,-14,0.37,0.27,1.23
42,0.39,2.49,11.58,45.47,-26.22,-250,-0.2,0.56,0.57
43,-55,-32.73,-24.41,240.93,34.76,-93.6,-0.29,0.36,0.15
44,-58.19,-8.75,18.26,35.81,23.39,114.98,0.59,0.96,0.39
45,3.28,5.54,47.69,-208.34,4.98,1.5,0.34,0.38,1.31
46,34.76,23.17,32.19,-145.42,-139,-2,0.13,0.34,1.02
47,-14,-10.73,-29.06,164.11,91.93,-223,-0.58,0.46,0.29
48,-65,-19.9,-29.84,115.63,48.54,12.66,-0.09,0.72,0.05
49,-27.37,-4.57,14.83,-67.89,70.7,134.2,0.29,0.95,0.58
50,20.26,8.57,26.88,-250.14,-130.23,-5,0.51,0.2,1.12
51,25.26,9.54,-19.88,-9.28,-34.53,-250,-0.24,0.5,0.75
52,-41,-20.95,-55.47,169.66,56.09,-105,-0.52,0.3,0.18
53,-64.7,-5.78,-26.5,45.98,42.92,77.94,0.19,0.95,0.2
54,-5.38,9.01,10.67,-194.84,7.06,97.15,0.52,0.57,1.16
55,37.73,48.26,12.84,-150.22,-117.56,-1,0.29,0.38,1.09
56,18.34,36.81,-48.82,104.56,59.92,-250,-0.35,0.34,0.51
57,-64.7,64.81,-49.1,140.08,53.47,-20.6,-0.28,0.5,0
58,-30.74,49.46,2.39,0.73,154.57,145.69,0.62,0.48,0.74
59,16.51,49.09,27.64,-250.14,-32.59,70,0.49,-0.14,1.18
60,4.52,47.19,-33.66,-7.97,122.11,-250,-0.11,0.52,0.78
61,-55.48,6.61,-56.57,193.82,-52.36,-118,-0.37,0.37,0.16
62,-46.25,8.29,-33.73,94.83,-0.48,63.5,0.6,0.72,0.03
63,-14.93,31.11,6.8,-250.14,6.68,17.47,0.42,0.18,1.31
64,42.58,37.74,6.14,-98.7,-152.81,-21,0.56,0.5,1.09
65,-23.6,15.01,-55.76,79.15,11.85,-178.5,-0.36,0.58,0.52
66,-64.7,42.76,-37.93,150.76,89.12,-57.6,-0.11,0.53,-0.08
67,-49.63,48.92,1.64,-13.6,29.62,163.1,0.7,0.27,0.88
68,8.86,67.59,28.19,-250.14,-79.35,-91,0.02,-0.12,1.21
69,36.8,71.21,-23.65,63.69,114.18,-250,0.13,0.8,0.54
70,-40.6,38,-44.22,143.6,32.73,-190,-0.85,0.37,0.44
71,-64.4,51.58,-23.41,103.61,74.03,34.21,0.27,0.62,0.13
72,-17.18,66.32,18.69,-214.27,29.16,142,0.24,0.6,1.31
73,23.55,68.92,21.37,-90.44,-120.56,-15,0.01,0.32,0.87
74,31.21,58.67,-23.73,73.05,60.6,-247.9,-0.35,0.67,0.58
75,-60.8,32.44,-51.28,158.42,64.08,-66.3,-0.29,0.35,0.14
76,-54.1,44.83,-16.12,6.12,15.11,90.93,0.24,0.72,0.36
77,-7.5,50.5,33.48,-187.49,-27.48,120,0.25,0.17,1.44
78,40.88,43.65,25.09,-115.66,-94.48,-23,0.05,0.45,0.95
79,-14,39.65,-36.91,128.08,55.05,-207,-0.53,0.45,0.51
80,-64.7,40.75,-24.55,191.79,23.93,-28.9,-0.08,0.34,-0.02
81,-36.9,46.2,25.97,-40.53,-21.44,157,0.63,0.64,0.93
82,29.5,48.44,47.85,-250.14,-4.38,-54,0.42,0.1,1.15
83,19.67,43.88,-14.38,43.04,13.99,-250.1,-0.16,0.69,0.62
84,-64.7,26.47,-30.32,191.64,26.95,-142,-0.6,0.31,0.13
85,-37.75,54.22,18.79,87.56,6.65,113.47,0.39,0.59,0.39
86,11.64,61.12,43.01,-250.14,-5.95,75.9,0.55,0.42,1.44
87,39.97,63.57,13.97,-68.87,-59.7,-250,-0.27,0.46,0.88
88,-50.4,24.86,-36.29,188.31,113.38,-145,-0.49,0.49,0.21
89,-38.2,60.05,-12.61,93.21,29.53,44.77,0.27,0.59,-0.1
90,-14.64,42.73,37.26,-120.22,23.55,154,0.76,0.62,1.38
91,23.13,44.58,43.87,-203.34,-141.18,-1,-0.4,0.53,1
92,13.7,40.29,-18.69,187.7,-62.74,-56,-0.2,0.64,0.18
93,-64.7,37.15,-30.09,23.1,10.1,88.95,-0.23,0.45,0.15
94,-36.27,44.3,14.8,-250.14,-1.65,52.8,0.77,0.55,0.21
95,5.07,41.14,41.47,-48.7,-3.29,-250,0.47,-0.03,1.48
96,28.15,44.91,29.42,168.29,34.25,-140,-0.04,0.59,0.56
97,-22.4,-5.59,-32.93,102.6,-11.16,19.5,-0.44,0.51,0.38
98,-61.74,7.54,-14.99,-53.8,20.37,108.6,-0.09,0.6,-0.14
99,-27.49,5.33,21.95,-250.14,-190.11,-8,0.79,0.59,0.93
100,6.86,18.04,56.11,65.97,54.91,-238.3,0.4,0.11,1.17
101,40.2,24.33,24.65,140,-11.35,-105,-0.4,0.59,0.73
102,-63,-12.58,-10.66,134.61,43.89,26.48,-0.51,0.42,0.05
103,-35.05,4.94,28.08,-127.4,32.75,155,0.33,0.62,0
104,-5.86,10.49,59.68,-140.85,-141.75,-2,0.46,0.68,1.74
105,29.46,14.84,59.74,147.91,64.31,-134,-0.3,0.41,0.51
106,-11.37,-9.89,-3.79,124.14,17.26,-22.6,-0.48,0.59,0.29
