,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.22,-37.41,63.54,5.87,-1.17,0.86,0.64,0.39,0.61
1,0.2,-37.72,63.63,6.77,-0.66,0.76,0.63,0.39,0.62
2,-23.84,7.18,66.22,16.29,178.3,-92,0.55,0.63,1.09
3,10.58,15.36,96.49,127.98,31.44,40.84,-0.18,0.29,0.53
4,-17.1,-23.06,33.53,-96.89,-9.29,102,0.16,0.67,0.15
5,-52.9,-11.7,37.72,-133.43,-122.9,-6,0.74,0.45,0.9
6,-37.11,3.27,78.35,19.58,44.82,-203.4,0.39,0.34,1.09
7,19.4,-5.14,88.35,160.9,58,-143,-0.03,0.7,0.52
8,31.25,-9.69,33.65,44.45,-37.63,74.91,-0.26,0.45,0.24
9,-42.1,-23.92,7.77,-212.6,-12.68,120,0.62,0.72,0.22
10,-46.9,-19.64,32,-100.61,-53.85,-16,0.85,0.35,1.38
11,-26.6,-16.75,68.85,94.01,14.45,-181.3,0.12,0.49,0.87
12,21.39,-17.74,75.22,143.58,4.81,-102.6,-0.34,0.75,0.33
13,27.18,-27.22,30.34,26.36,-9.55,82.6,-0.2,0.58,0.2
14,-30.87,-35.12,6.18,-176.13,-35.65,104,0.48,0.65,0.33
15,-59,-18.09,28.99,-95.42,-29.72,-118,0.91,0.59,0.98
16,0,-227.85,8,121.16,5.3,-97.82,0.16,0.33,1.03
17,-25.3,-15.51,60.4,35.44,-38.44,111,-0.19,0.72,0.35
18,28.87,-24.31,69.48,-200.68,14.14,132,-0.04,0.54,0.23
19,34.41,-21.23,18.74,-101.3,-57,-14,0.61,0.8,0.35
20,-36.3,-35.89,-6.65,102.4,15.72,-180,0.83,0.35,1.2
21,-47,-30.85,20.26,124.02,-56.53,-117,0.16,0.52,1
22,-30.4,-43.25,52.81,18.48,-60.14,105.7,-0.18,0.86,0.4
23,27.49,-55.97,57.43,-222.54,-57.47,144,-0.13,0.42,0.29
24,37.49,-69.54,1.33,-64.74,24.44,-208,0.8,0.8,0.64
25,-54,-62.15,-14.25,73.95,-44.5,-109,0.77,0.32,0.97
26,-28.36,-71.26,6.9,89.35,-28.34,-102,0.16,0.62,0.44
27,-26.5,-74.88,31.38,26.53,-40.89,75.36,-0.24,0.86,0.36
28,19.67,-81.84,39.36,-192.01,-49.37,91,-0.06,0.45,0.2
