,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-0.8,-42.44,-22.46,6.9,6.99,-3.21,0.19,-0.97,0.08
1,0.17,-42.12,-23.82,3.58,-3.84,0.64,0.19,-0.99,0.06
2,-5.64,-6.6,-34.2,-35.44,140.37,-21,0.38,-0.75,0.07
3,-0.4,16.38,-31.89,16.15,93.02,-1.56,0.18,-0.95,-0.13
4,-1.46,31.65,-32.48,5.53,65.32,-5.62,0.12,-0.91,-0.07
5,-6.1,51.45,-37.51,-13.47,86.72,-23.4,0.29,-1.11,0.12
6,-3.92,56.64,-38.22,3.33,31.02,-15.06,0.2,-0.9,0.11
7,4.25,96.99,-44.62,-21.41,175.39,16.4,0.41,-0.9,0
8,1.7,135.51,-43.66,10.21,171.48,6.56,0.09,-0.89,-0.02
9,-7.1,148.35,-34.53,41.51,71.89,-27.56,-0.16,-0.92,-0.22
10,-1.4,154.89,-46.18,-39.78,51.9,-5.69,0.22,-1.03,0.05
11,-3,113.38,-45.32,9.55,-142.92,-11.9,-0.1,-1.02,-0.02
12,5.37,127.08,-51.57,-19.15,74.2,20.75,0.09,-0.98,0.09
13,-8.1,143.48,-48.87,16.6,86.73,-31.57,0.03,-0.99,-0.04
14,-8.9,136.38,-29.59,80.33,-7.89,-34.42,-0.26,-0.92,-0.26
15,0.1,135.67,-35.69,-15.81,18.76,0.4,-0.03,-0.83,0.09
16,7.49,209.14,-51.54,-50.34,79.72,0.28,0.22,-1.02,0.14
17,-1.7,236.57,-43.7,-2.64,245.83,26.76,0.25,-1.05,-0.1
18,-8.3,242.73,-45.11,36.66,144.61,-6.75,0.08,-1.15,-0.11
19,-0.6,244.29,-55.58,1.39,62.92,-31.92,0.03,-0.91,-0.01
20,-3.8,219.01,-56.5,-35.97,45.73,-2.57,0.04,-0.96,0.1
21,-1,261.3,-56.06,-1.97,-59.4,-14.7,0.32,-0.93,0.25
22,-10,286.82,-59.46,3.56,208.09,-4,0.4,-0.97,0
23,0.01,273.96,-60.28,-10.44,146.69,-41,0.23,-1.03,-0.1
24,-7.4,266.33,-62.23,-0.53,-3.48,0.02,0.24,-1.02,-0.05
25,-4.1,269.85,-67.48,-4.27,14.61,-28.7,0.15,-1.1,0.01
26,6.2,300.99,-69.76,-18.45,58,-16,0.12,-0.87,0.13
27,3.8,316.01,-62.91,-7.15,169.9,23.93,0.14,-0.99,-0.11
28,-6,284.72,-66.51,27.05,112.56,14.66,0.43,-1,-0.06
29,-1.4,255.8,-71.41,-12.27,-73.86,-23,0.12,-0.9,0.18
30,-4.9,296.49,-65.1,-18.17,-71.57,-5.6,-0.15,-0.99,0.21
31,-4.8,308.93,-50.61,26.4,206.82,-18.9,0.21,-0.97,-0.01
32,0,305.24,-56.48,60.04,97.73,-18.7,0.04,-0.95,-0.2
33,-0.4,288.5,-61.73,-17.59,34.61,-0.05,-0.03,-0.95,0.02
34,-1.2,308.76,-65.98,-16.67,-18.9,-1.7,-0.08,-1.02,0.08
35,-4.1,335.94,-66.41,-13.85,128.73,-4.6,0.14,-0.94,0.03
36,-6.8,334.91,-64.78,8.5,51.54,-26.29,0.18,-1.01,-0.07
37,-6.6,313.52,-67.45,-8.56,-30.1,-25.4,0.18,-1.02,-0.1
38,0.38,324,-72.24,-18.37,94.85,1.47,0.19,-0.96,0.07
39,1.22,324.47,-71.01,4.5,56.83,4.69,0.26,-1.01,0.17
40,-0.3,369.52,-67.79,11.26,237.87,-1.48,0.35,-1.1,0.22
41,15.6,332.31,-68.81,-11.18,19.15,-59.3,0.64,-1.19,-0.2
42,-13,352.72,-67.34,7.94,-43.22,56.04,0.25,-1.01,-0.08
43,7.39,376.88,-70.47,6.21,137.12,-53.74,0.31,-0.98,-0.03
44,-1.7,388.77,-61.18,-11.54,155.93,28.4,0.26,-1.08,0.27
45,-4.8,369.73,-62.58,38.53,110.38,-6.92,0.26,-0.9,-0.04
46,4.72,372.16,-71.85,-2.98,-12.03,-18.5,0.2,-0.91,-0.04
47,4.66,409.05,-68.79,-34.61,70.18,18.22,0.17,-0.81,0.04
48,-6.5,421.33,-65.37,12.96,210.5,17.99,0.09,-0.94,0.15
49,-20,416.13,-54.14,15.04,117.05,-25.3,0.25,-1,0
50,5.19,414.48,-61.69,47.11,45.72,-77.2,0.2,-0.97,-0.1
51,4.99,338.26,-69.85,-25.94,58.94,20.02,-0.13,-1.2,-0.21
52,0.56,386.54,-65.78,-29.94,-240.39,19,-0.13,-0.89,0.01
53,-6.8,371.23,-46.7,17.9,250.13,2.15,-0.18,-1.09,0.12
54,-7.4,375.98,-58.87,78.85,0.49,-26.56,-0.01,-1.01,-0.2
55,-5.7,378.16,-66.87,-42.27,78.67,-28.7,0.01,-0.94,-0.04
56,-2.4,397.23,-69.04,-28.57,69.82,-21.9,0.09,-1,0.14
57,-8.8,419.06,-70.18,-9.07,141.34,-9.45,0.37,-0.83,0.12
58,-10,434.14,-67.35,-5.15,155.66,-34.3,0.42,-0.93,-0.03
