,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,8.18,-20.83,19.3,-26.89,65.08,31.6,-0.08,135.82,0
1,-22.62,35.57,15.36,-2.71,227.87,-87.3,0.22,-1.08,0.13
2,-65.04,69.13,34.03,82.57,148.94,-250,0.66,-1.27,0.1
3,-14.72,66.59,51.17,69.02,1.4,-56.83,0.61,-0.41,0.14
4,3.39,64.19,54.68,15.77,2.15,13.1,0.04,0.39,0.58
5,64.78,41.24,51.48,-4.16,-80.27,250.1,0.11,0.63,0.72
6,65.28,-6.69,54.08,21.56,-173.37,250,0.12,0.01,0.62
7,29.29,-28.29,62.35,51.42,-83.25,113,0.81,-0.28,-0.03
8,-0.72,-17.37,63.16,26.64,40.21,-2.79,0.66,-1.15,-0.24
9,0.01,-35.07,113.59,222.21,-73.82,0.04,0.12,-1.05,0
10,18.4,-31.4,165.49,235.43,4.41,71.08,0.02,-1.54,0.99
11,11.8,-29.68,163.49,12.48,7.34,45.5,-0.24,-0.39,0.18
12,-6.2,-31.51,160.32,7.53,-10.56,-24.25,0.45,0.49,0.45
13,-16,-46.04,112.69,-165.88,-56.73,-64,0.15,0.54,0.69
14,52.26,-35.05,72.75,-135.29,42.98,201,0.17,0.02,0.19
15,5.14,-95.8,42.26,-98.79,-247.89,19,1.09,-1.23,0.6
16,-7.27,-31.02,50.16,48.02,250.13,-28,0.68,-1.13,-0.07
17,-65.04,-9.81,78.35,130.48,83.65,-250,0.37,-0.82,0.32
18,-38.09,4.09,107.02,125.12,58.71,-146,0.26,0.14,0.47
19,-2.6,-1.82,106.77,8.73,-21.73,-10.02,0.14,0.7,0.65
20,16.1,-13.77,103.11,-5.47,-46.85,62.36,0.12,0.57,0.47
21,64.7,-40.18,118.68,82.04,-97.99,250.1,0.96,-0.32,0.31
22,58.02,-30.07,78.65,-133.86,40.34,223,0.43,-0.5,0.18
23,1.57,-6.15,69.39,-13.73,95.02,6.05,0.41,-0.98,0.02
24,-3.59,42.82,83.39,77.95,199.2,-13.8,0.47,-1.23,0.32
