,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-2.24,-45.91,63.15,9.86,-13.84,-8.64,0.78,0.47,0.47
1,0.16,-45.6,62.37,1.98,1.7,0.62,0.71,0.49,0.38
2,-3.22,-44.87,60.49,-2.64,3.32,-12.42,0.76,0.54,0.42
3,-7.8,-39.26,57.41,-8.4,21.28,-30.13,0.54,0.53,0.49
4,3.75,-33.25,64.87,31.69,22.95,14.48,0.51,0.72,0.43
5,-22.35,-5.31,75.48,46.6,108.34,-86.3,0.17,0.76,0.87
6,18.91,16.69,86.84,44.54,87.63,72.75,0.02,0.46,-0.07
7,22.42,11.41,49.55,-144.54,-13.25,86,0.61,0.91,0.29
8,-38.96,6.94,9.25,-155.66,-9.73,-150,1,0.26,1.17
9,-54.77,-1.7,14.81,17.02,-26.83,-195,0.5,0.58,0.7
10,-4.74,14.52,48.34,132.34,61.82,-18.2,-0.27,0.41,0.65
11,26.37,25.32,47.56,-7.24,48.34,101.8,0.15,0.54,0.02
12,8.38,0.97,-12.88,-240.37,-88.21,32,0.78,0.69,0.87
13,-58.8,34.39,-18.34,-24.4,138.27,-227,0.52,0.06,1.21
14,-53.09,36.87,3.52,78.35,19.31,-204.1,0.47,0.73,0.76
15,17.95,19.27,36.3,131.53,-71.93,69.3,-0.38,0.05,0.39
16,47.69,10.32,-8.4,-180.94,-25.56,184,0.86,0.84,0.15
17,-66.33,1.21,-44.1,-186.16,-95.2,-12,1.07,0.5,0.91
18,-8.33,1.04,-10.79,24.21,66.15,-236.8,0.66,0.45,0.72
19,32.32,9.42,-26.88,121.95,-1.67,-32.1,-0.08,0.32,0.54
20,6.48,-23.92,-65.31,-78.7,36.03,124.8,0.21,0.86,-0.05
21,-64,-32.85,-96.59,-162.95,-124.87,25,0.94,0.55,0.66
22,-53,-19.74,-67.86,-129.56,-31.05,-22,0.76,0.48,0.82
23,10.7,-19.81,-37.1,92.62,51.08,-203.9,0.29,0.5,0.44
24,43.6,-30.11,-71.14,104.12,-4.05,41.58,-0.03,0.42,0.3
25,-18,-69.09,-115.08,-150.42,-37.87,168,0.83,0.91,0.18
26,-70,-55.09,-121.15,-189.89,-152.15,-7,1.3,0.42,0.8
27,-20,-24,-81.56,-43.47,48.37,-250,1,0.61,0.82
28,27.7,-19.82,-69.3,132.4,114.1,-77,-0.09,0.35,0.37
29,12,-35.06,-114.36,1,106.93,0,0.09,0.58,0.17
30,-57,-23.79,-136.25,-197.38,-57.02,48,0.78,0.65,0.44
31,-53,-2.22,-109.24,-108.23,45.81,-221,0.85,0.26,1.05
32,14.3,-10.9,-76.08,78.94,87.04,-204.1,0.41,0.64,0.45
33,34.78,-8.32,-98.7,113.76,-40.66,55.5,-0.38,0.15,0.55
34,-14,-31.21,-143.64,-111.94,14.12,134,0.55,0.79,0.16
35,-65,-22.48,-136.4,-198.47,-85.24,-54,1.12,0.42,0.89
36,-34,-16.44,-95.63,2.97,36.65,-250.14,0.87,0.42,0.89
37,20.7,-11.43,-72.07,132.56,21.13,-134,0.04,0.62,0.42
38,20,-20.19,-118.01,68.79,18.57,80.19,0.06,0.51,0.22
39,-65,-18.81,-156.06,-202.09,-29.35,78,0.93,0.72,0.41
