,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
76,1.8,443.96,-114.32,-4.53,46.74,-7.27,0.03,-0.98,-0.01
77,-3,448.53,-111.06,-7.24,39.74,-1.37,0.2,-1.12,0
78,-2,443.09,-112.22,-16.03,131.85,7.21,0.24,-0.9,-0.07
79,0,438.67,-113.22,7.15,90.89,-13.8,0.33,-0.89,-0.15
80,0.6,424.38,-114.02,-9.64,51.56,-9.43,0.13,-1.03,-0.19
81,-8,421.64,-113.98,-9.33,55.21,-1.98,0.15,-0.9,-0.06
82,-7,419.14,-114.68,-10.15,15.9,2.3,0.19,-1,-0.01
83,9.1,414.09,-116.97,-6.31,59.44,-31.58,0.31,-0.93,-0.15
84,-6,406.43,-114.18,-8.95,59.69,-28.27,0.25,-1.03,-0.16
85,7,405.48,-115.72,-15.35,49.28,35.31,0.21,-0.88,-0.08
86,-3,413.21,-117.23,4.89,37.68,-25.83,0.22,-0.93,0.03
87,-7,420.99,-117.45,-12.82,63.68,27.23,0.2,-0.99,-0.07
88,4.8,418.88,-120.36,-13.15,98.76,-13.2,0.24,-0.91,-0.15
89,-4,411.31,-116.37,-6.54,98.23,-28.29,0.27,-0.99,-0.18
90,6.2,420.7,-115.08,-18.05,61.15,18.62,0.08,-0.93,-0.11
91,-3,435.64,-110.41,8.87,38.64,-15.92,0.21,-0.97,-0.01
92,-1,433.29,-113.16,-1.97,106.27,24.27,0.21,-1.02,-0.15
93,2,425.99,-114.46,12.02,129.68,-13.8,0.26,-0.97,-0.18
94,-9,419.47,-116.36,-15.3,61.6,-5.43,0.26,-0.98,-0.13
95,-9,421.93,-115.65,-11.01,42.06,7.66,0.09,-0.87,-0.02
96,2.9,420.92,-119.5,-13.56,49.12,17.21,0.22,-0.98,0.04
97,-1,416.27,-116.1,-7.92,65.4,-36.63,0.28,-0.96,-0.08
98,3.8,421.94,-119.55,-3.43,78.82,-34.92,0.25,-1,-0.23
99,-1,430.1,-118.78,-21.48,65.51,11.19,0.14,-0.89,-0.14
100,-2,425.39,-121.69,6.54,51.34,-5.34,0.19,-0.89,-0.02
101,0,429.58,-118.26,-21.15,91.93,14.66,0.25,-0.99,-0.06
102,9,430.39,-119.76,-4.08,102.65,-6.18,0.22,-1,-0.16
103,1.6,443.61,-123.64,-18.44,52.18,-11.1,0.23,-0.98,-0.07
104,-7,443.88,-123.24,5.58,88.4,-3.6,0.36,-1.03,-0.01
105,8.4,444.97,-124.12,-13.44,74.66,34.68,0.27,-0.92,-0.14
106,-2,439.03,-121.04,-23.55,124.8,6.2,0.27,-0.97,-0.22
107,2.1,443.03,-123.48,-5.92,73.27,-27.77,0.17,-1.34,-0.26
108,0.1,436.9,-122.81,-11.09,77.7,32.49,0.22,-0.91,0.05
109,-3,436.7,-123.71,4.69,49.79,-11.08,0.21,-0.9,-0.07
110,0.4,434.93,-124.69,-17.28,88.6,8.08,0.23,-0.94,-0.13
111,-5,423.46,-123.49,-4.79,48.24,0.44,0.18,-0.99,-0.15
112,10,425.4,-126.26,-11.61,72.16,-11.9,0.25,-0.83,0
113,-2,432.52,-126.67,-11.55,65.14,1.75,0.22,-0.9,-0.02
114,0,439.84,-125.98,-2.93,25.6,-19.96,0.19,-1,-0.14
115,5.2,438.52,-124.23,-20.11,79.02,39.95,0.38,-0.97,-0.15
116,-7,427.22,-120.09,-10.32,99.02,-9.05,0.21,-0.97,-0.22
117,5.3,439.36,-124.78,-4.74,100.1,-1.18,0.17,-1.03,-0.08
118,-4,442.64,-123.68,-1.17,67.84,20.16,0.25,-0.92,0.01
119,-1,447.49,-123.93,9.27,26.08,-30.6,0.13,-0.99,-0.15
120,1.7,447.41,-124.09,-26.67,120.29,20.6,0.3,-0.96,-0.12
121,0,451.44,-123.91,-3.34,84.82,-16.7,0.15,-1.04,-0.21
122,-5,453.88,-124.96,-7.36,91.61,-5.05,0.1,-1.05,-0.02
123,-9,460.88,-128.45,-8.05,73.31,6.76,0.22,-1,-0.05
124,5.1,463.28,-129.91,-7.46,90.36,-3.44,0.23,-0.97,-0.18
125,-4,451.41,-126.04,-12.49,84.34,-22.5,0.22,-1,-0.23
126,4.8,456.74,-129.29,-21.46,102.38,-36,0.17,-0.93,-0.1
127,0,454.38,-129.07,7.24,28.11,-19.04,0.23,-0.91,0.07
128,3.3,446.51,-128.03,-21.73,96.7,18.6,0.14,-0.98,-0.15
129,-2,436.24,-124.52,-7.52,65.24,-3.63,0.28,-0.95,-0.11
130,-2,437.73,-123.92,-3.44,42.61,12.82,0.16,-0.97,-0.16
131,0.1,450.13,-125.53,5.5,32.87,-8.34,0.14,-0.94,0
132,-4,455.98,-124.97,-5.89,78.16,-8.24,0.27,-0.97,-0.05
133,5.7,455.52,-125.22,-14.85,122.5,0.41,0.21,-0.94,-0.2
134,-5,446.96,-121.85,-4.37,96.41,-17.02,0.24,-0.95,-0.2
135,1.9,457.44,-124.19,-8.93,73.81,22.08,0.08,-0.92,-0.04
136,-6,463.66,-123.79,6.04,39.81,-22.37,0.23,-0.91,0.01
137,2.6,459.5,-124.38,-17.45,116.37,7.55,0.12,-1.01,-0.16
138,1,475.39,-122.29,-6.15,99.85,-25.05,0.24,-0.91,-0.18
139,-3,464.44,-120.77,-9.46,55.65,9.58,0.19,-1.04,-0.18
140,5.9,471.16,-124.22,1.07,139.64,3.98,0.25,-0.97,-0.08
141,2.7,472.16,-120.53,-1.96,34.95,-12.56,0.2,-1.01,0.01
142,-6,467.39,-121.05,-21.53,103.89,22.7,0.27,-0.97,-0.15
143,5.3,464.17,-123.64,6.59,82.34,10.56,0.27,-0.97,-0.12
144,6.1,461.8,-124.52,-8.93,58.33,-24.47,0.3,-1.06,-0.14
145,-7,455.33,-122.19,-17.6,64.46,20.79,0.18,-0.91,-0.07
146,-2,458.39,-123.01,-11.21,67.12,23.49,0.24,-0.97,-0.02
147,4.7,443.67,-122.27,0.92,50.47,-30.52,0.23,-0.93,-0.05
148,2.8,445.1,-119.6,-10.15,86.09,-11.1,0.24,-0.96,-0.2
149,-2,436.5,-122.2,-4.23,16.4,18.31,0.13,-1,-0.14
150,-6,441.22,-127.06,2.06,80.51,10.81,0.19,-0.94,0.04
151,5.9,434.17,-122.82,-19.27,39.39,-9.6,0.37,-0.96,-0.08
152,7.5,427.91,-121.14,-26.38,90.47,-25.3,0.28,-0.93,-0.34
153,-3,427.63,-117.49,8.8,44.56,23.03,0.14,-0.97,-0.12
154,-3,441.72,-121.13,-1.13,47.19,29.2,0.23,-1,-0.09
155,-1,441.36,-120.46,7.24,70.18,-14.95,0.26,-0.91,0.05
156,-2,442.39,-120.57,-22.29,127.65,-12,0.27,-0.97,-0.02
157,-2,441.95,-123.88,-3.66,70.56,-4.36,0.3,-0.98,-0.21
158,-3,436.35,-123.12,-7.33,77.11,-9.61,0.13,-0.97,-0.06
159,-2,447.57,-126.53,-20.14,71.34,-7.72,0.22,-1,0.04
160,-7,446.71,-126.51,-4.79,50.32,-13.26,0.2,-0.92,0.01
161,2.3,432.96,-124.56,-21.96,117.67,-8.1,0.23,-0.95,-0.12
162,10,418.37,-125.59,-7.79,69.86,-28.02,0.26,-0.99,-0.19
163,-14,413.46,-118.8,1.83,16.7,9,0.18,-1.03,-0.15
164,-4,425.12,-119.05,-12.6,13.88,41.78,0.01,-0.91,0
165,-5,427.95,-121.43,19.03,49.23,-57.27,0.3,-0.92,-0.01
166,16,415.73,-118.82,-8.2,114.31,-18.2,0.2,-1.05,-0.22
167,-1,415.39,-118.97,-25.18,85.24,-0.03,0.14,-0.92,-0.23
168,-1,423.6,-121.28,0.53,62.27,-19.98,0.23,-0.98,-0.14
169,3.1,418.7,-123.15,2.85,22.29,62.46,0.19,-0.86,0.14
170,0.6,414.09,-124.79,-8.44,68.65,-4.5,0.26,-0.9,0.04
171,-2,410.88,-123.2,-8.45,89.18,-20.31,0.36,-1.02,-0.06
172,-2,416.16,-124.54,-14.56,81.43,-5.45,0.18,-0.97,-0.17
173,-7,418.15,-125.44,-13.95,49.67,11.99,0.19,-1.02,-0.12
174,5.8,414.47,-124.95,-14.2,51.07,2.65,0.16,-1,0.01
175,-3,402.3,-123.8,-2.25,55.99,-10.49,0.28,-1.11,-0.04
176,0,411.03,-125.51,-13.4,89.38,-8.37,0.27,-0.96,-0.19
177,-3,416.61,-125.99,-10.83,76.19,-28,0.16,-0.95,-0.08
178,-7,427.06,-130.45,-5.41,53.96,22.7,0.16,-0.95,0.07
179,-1,426.85,-131.79,-3.81,20.35,-11.9,0.3,-0.98,-0.06
180,6.4,412.94,-131.84,-15.06,102.08,-2,0.25,-1,-0.18
181,-4,417.17,-132.97,-10.17,90.25,-13.6,0.21,-0.94,-0.17
182,-2,415.9,-130.76,-25.11,109.94,-28,0.1,-1.02,-0.11
183,7.9,404.24,-131.19,-13.41,69.18,-4.92,0.17,-1.01,-0.04
184,-3,402.08,-129.89,-10.09,15.56,24.73,0.33,-0.99,-0.14
185,-7,402.14,-129,-13.9,85.72,-16.8,0.24,-0.95,-0.14
186,-2,409.31,-134.09,-0.21,62.96,-10.01,0.13,-0.99,-0.2
187,0,413.73,-133.07,-9.89,21.61,30.81,0.17,-0.96,0
188,7.7,408.3,-132.07,-4.69,59.62,-14.22,0.36,-0.96,-0.04
189,-2,411.65,-129.49,-5.68,66.26,-28.94,0.17,-0.94,-0.24
190,-4,423.59,-131.29,-29.54,95.6,-10.9,0.23,-0.98,-0.21
191,0,426.78,-133.71,-4.92,84.94,-0.97,0.21,-0.97,-0.01
192,3,417.04,-130.64,-5.47,47.27,29.84,0.25,-0.89,-0.03
193,5.7,412.27,-129.13,0.76,81.44,-9.09,0.29,-1.01,-0.13
194,0,432.36,-132.91,-16.61,115.27,-17,0.11,-0.94,-0.3
195,-1,439.64,-131.38,-18.46,82.26,-3.57,0.18,-0.99,-0.15
196,0,442.57,-131.61,3.4,31.24,11.76,0.18,-0.93,0.08
197,-1,433.63,-129.9,-3.54,50.57,22.19,0.31,-0.95,-0.13
198,8.1,450.31,-134.91,-24.83,149.02,-1.4,0.22,-0.97,-0.3
199,0,31.28,39.49,-3.02,99.7,-7.63,0.14,-1.05,-0.22
200,1.3,453.9,-131.64,-9.12,83.93,-3.36,0.15,-0.92,0.05
201,3.5,446.94,-132.69,-1.47,36.93,-3.92,0.21,-1.15,-0.01
202,-10,438.09,-128.03,-0.34,89.15,-19.47,0.34,-0.92,-0.16
203,8.2,448.74,-130.52,-3.79,67.74,4.95,0.17,-1.03,-0.18
204,-2,456.46,-129.53,-14.05,48.18,13.59,0.13,-0.95,0.01
205,2.2,454.38,-129.35,9.66,37.96,-42.15,0.33,-0.93,0
206,-4,450.67,-126.09,-19.37,115.4,31.8,0.19,-1.01,-0.16
207,4.8,464.42,-127.78,-4.2,104.47,-9.91,0.27,-0.93,-0.22
208,-3,467.01,-126.35,-6.89,61.66,7.92,0.14,-1.03,-0.12
209,-2,466.26,-123.59,-15.14,129.66,18.6,0.18,-0.92,0
210,-1,456.01,-122.15,-2.4,86.31,-11.85,0.21,-1.01,-0.09
211,-3,462.9,-125.35,4.78,72.51,-9.95,0.21,-0.99,-0.19
212,-4,467.73,-126.47,-1.99,36.02,-4.72,0.15,-0.91,-0.15
213,-1,467.7,-131.9,-18.97,95.19,-13.3,0.04,-1.04,0.03
214,-2,469.4,-130.57,-12.33,95.53,-17.4,0.24,-0.89,0.01
215,0.3,460.01,-128.51,-30.44,77.58,-5.66,0.2,-0.99,-0.18
216,-3,463.21,-132.33,-4.47,85.07,-9.34,0.18,-1.01,-0.15
217,-1,458.16,-131.85,-1.17,39.83,1.5,0.3,-0.96,-0.08
218,5.3,447.89,-131.73,-24.25,89.08,-12.4,0.31,-0.93,0.08
219,1.3,447.31,-129.17,-6.92,55.4,-6.7,0.24,-0.95,-0.2
220,-1,444.83,-130.07,-8.31,34.35,20.6,0.24,-0.96,-0.16
221,-3,448.73,-133.12,0.53,72.76,5.12,0.16,-0.98,-0.16
222,-5,455.7,-130.68,-13.12,64.3,-6.85,0.22,-0.97,0.02
223,9.9,451.09,-132.86,-21.47,89.57,-14,0.34,-0.99,-0.04
224,-3,446.67,-126.23,1.82,100.53,-22.29,0.26,-0.89,-0.2
225,-1,455.37,-127.7,-17.73,57.17,38.3,0.25,-0.99,-0.17
226,-2,456.36,-125.29,16.87,57.05,-13.39,0.08,-1.05,-0.09
227,3,448.73,-126.46,-14.67,108.77,-7.5,0.23,-0.87,0.04
228,-3,444.71,-125.44,1.98,78.22,-11.28,0.26,-0.93,-0.14
229,2.5,449.31,-126.61,-11.65,43.91,11.58,0.21,-0.97,-0.24
230,-3,452.55,-126.22,-3.7,57.77,-13.98,0.14,-1,-0.11
231,-9,457.21,-127.55,-13.09,92.39,9.82,0.14,-1.07,0.05
232,0.1,463.23,-128.07,-6.65,86.53,-13.97,0.22,-1,-0.02
233,1,465.83,-130.6,-12.97,93.31,-35.6,0.26,-0.99,-0.13
234,3.7,469.58,-132.57,-9.84,99.02,0.54,0.2,-0.94,-0.15
235,0,464.99,-130.34,-18.85,87.44,4.08,0.19,-0.97,-0.05
236,-2,459.73,-128.31,-16.79,91.82,14.34,0.17,-0.94,-0.05
237,3.2,453.57,-128.65,-0.15,59,-0.79,0.24,-0.88,-0.07
238,-1,454.08,-126.74,0.27,55.02,-9.82,0.19,-0.96,-0.16
239,0,459.47,-129.13,-10.24,51.7,12.66,0.23,-0.96,-0.08
240,-2,459.44,-127.54,-0.73,77.09,-6.92,0.15,-1.01,-0.03
241,0,447.28,-126.31,-18.25,96.71,-3.79,0.29,-0.94,0.03
242,4.6,449.07,-128.02,-1.88,75.08,-8.8,0.22,-0.95,-0.09
243,0,454.72,-126.98,-2.37,26.05,-0.92,0.21,-0.94,-0.19
244,-3,446.29,-126.05,-15.15,81.08,17.71,0.18,-1.03,-0.14
245,7.1,444.57,-129.38,-2.95,54.6,-39.08,0.11,-0.96,-0.07
246,-2,440.92,-126.49,-9.63,107.44,-2.08,0.32,-1.12,-0.04
