,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.2,-38.4,69.2,5.62,-3.31,2.02,0.58,0.55,0.54
1,0.07,-38.27,69.28,5.84,-1.44,0.76,0.58,0.55,0.55
2,-8.52,6.84,86.68,5.92,0.23,0.27,0.51,0.79,0.69
3,8.79,-17.17,36.12,-9.53,39.85,-46.69,0.01,0.5,0.86
4,-59.8,-24.14,15.59,89.47,135.23,-32.8,-0.08,0.56,0.1
5,-35.8,-11.54,37.13,15.86,6.05,83.37,0.64,0.72,0.53
6,15.63,-16.53,66.6,-194.06,-88.63,31,0.91,0.2,0.89
7,16.16,-30.02,20.9,-78.16,-23.53,-231,0.06,0.73,0.72
8,-53,-60.74,-29.21,81.53,47.09,-137.8,-0.21,0.4,0.29
9,-46.2,-39.03,14.83,116.82,-25.73,60.3,0.36,0.82,0.1
10,19.4,-37.68,31.28,-182.97,-52.95,62,0.93,0.4,0.97
11,24.59,-43.02,-5.83,-200.79,-121.73,-2,0.27,0.44,1.06
12,-60,-43.36,-28.24,168.22,79.4,-178,-0.05,0.51,0.22
13,11.76,-42.1,3.78,57.75,-1.7,74.6,0.54,0.81,0.19
14,25.8,-47.3,-22.62,-153.07,-22.23,94,0.16,-39.2,0
15,-9.3,-74.55,-74.53,-187.56,-115.27,-1,1.02,0.35,0.71
16,-64,-87.35,-91.63,75.73,99.61,-215.5,0.51,0.64,1.11
17,-21,-58.77,-45.63,115.33,-4.66,45.42,-0.16,0.45,0.26
18,24.7,-50.47,-32.93,-115.9,-23.62,99,0.38,0.79,0.08
19,14,-61.29,-79.8,-214.5,-109.18,-3,1.16,0.5,0.95
20,-53,-71.44,-107.03,-82.81,-57.13,-250,-0.27,0.38,0.51
21,-55,-44.66,-82.76,163.71,96.46,-81.2,-0.04,0.61,0.2
22,9.56,-39.88,-45.31,32.18,23.27,95.63,0.25,0.76,0.45
23,35.6,-35.53,-61.77,-201.98,-48.91,53,0.79,0.21,0.83
24,-21,-62.17,-114.08,-124.01,-43.8,-20,0.53,0.47,1.01
25,-63,-44.97,-120.07,76.53,99.9,-213.6,-0.33,0.33,0.4
26,-22,-29.91,-83.44,132.11,6.81,36.9,0.13,0.61,0.08
27,17,-43.06,-123.28,-85.62,13.08,137.5,0.89,0.62,1
28,-64,-42.3,-144.24,-223.49,-106.52,-8,0.73,0.19,0.87
29,-41.3,8.42,-113.8,-43.98,65.5,-243,0.03,0.53,0.82
30,11.63,20.45,-72.22,122.23,53.43,-87,-0.11,0.48,0.2
31,36.5,28.59,-103.16,-250.14,-57.42,61,0.56,0.69,0.6
32,-25,-20.31,-155.28,-105.4,3.23,-246,0.74,0.19,0.73
33,-65,-4.96,-150.39,98.96,199.15,-159,0.34,-0.02,1.12
34,-28,-7.04,-119.31,143.22,45.61,44.92,-0.26,0.35,0.42
35,28.25,3.23,-101.93,-144.79,40.55,141,0.43,0.75,0.32
36,-69,-1.47,-171.54,-227.52,-183.08,-9,1,0.3,0.74
37,-43,12.61,-141.91,-7.36,64.48,-250.1,0.76,0.27,0.9
38,8.41,10.28,-100.55,92.11,-10.15,-110,-0.09,0.71,0.51
39,30.3,10.02,-127.99,39.74,39.8,108.24,0,0.55,0.24
40,-23,-13.17,-166.85,-231.44,-45.85,63,0.84,0.41,0.59
41,-49,-13.03,-164.91,-86.5,36.99,-250,0.78,-0.02,0.99
42,-42,-4.45,-128.49,86.95,60.67,-167.1,0.51,0.49,0.83
43,13.9,-5.55,-100.87,133.32,-10.87,32.4,-0.25,0.6,0.17
44,29,-14.53,-138.85,-136.29,4.39,116.7,0.33,0.73,0.14
45,-57,-23.5,-173.36,-178.4,-85.24,-89,0.83,0.32,1.03
46,-34,-28.08,-141.94,-21.43,4.82,-191,0.71,0.29,0.8
47,-16,-10.41,-102.72,112.81,32.49,-163,0.01,0.56,0.57
48,28.98,0.23,-97.67,82.53,-8.21,53.53,-0.2,0.44,0.36
49,-4,-10.15,-152.91,-177.05,-31.2,115,0.48,0.63,0.21
50,-47,-8.14,-163.59,-150.5,-29.59,-20,0.95,0.25,1.11
51,-36.5,6.74,-131.1,95.5,-21.47,-131,0.07,0.29,1
52,9.59,19.09,-99.49,127.47,63.44,-62.5,-0.2,0.46,0.45
53,-37,-11.41,-173.65,-7.28,40.92,111.46,0,0.67,0.26
54,-50.3,1.91,-170.5,-242.4,-35.53,-18,0.79,0.6,0.8
55,-38,13.86,-133.29,-63.34,11.6,-171,0.8,0.1,1.03
56,7.17,0.25,-104.37,98.22,59.95,-140.4,0.16,0.53,0.72
57,25,-13.63,-136.47,99.76,48.24,36.89,-0.18,0.42,0.54
58,-29,-37.2,-163.34,-127.78,11.79,118,0.22,0.88,0.08
