yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.57,135.56,-54.77,-68.82,24.05,40.31,-0.67,-0.02,-0.83
-15.6,70.63,-40.01,44.53,-84.26,-28.1,-0.91,-0.28,-0.77
-1.64,29.78,-38.78,-53.24,-250.14,-10.0,-0.66,-0.32,0.6
12.42,22.96,-25.99,41.45,-45.02,57.74,0.0,-0.09,0.85
7.19,21.04,-19.94,54.63,-24.96,58.73,0.23,-0.04,0.87
-47.4,83.96,-13.96,-14.48,250.13,-134.0,0.17,0.22,0.69
-4.8,131.03,-17.96,-46.26,153.55,-19.0,-0.79,-0.48,-0.36
7.3,142.77,-41.04,-50.42,83.44,49.98,-0.69,-0.37,-0.79
-1.4,130.44,-47.15,-43.71,27.6,2.2,-0.68,0.04,-0.81
-22.1,65.74,-59.22,52.15,-250.14,-60.0,-1.23,-0.23,-0.46
8.23,36.22,-44.23,1.44,-153.85,-6.32,-0.17,-0.33,1.0
13.1,36.18,-32.88,45.53,-22.96,47.78,-0.04,-0.04,0.81
-1.25,62.21,-28.64,19.05,-1.23,25.78,0.28,-0.04,0.92
-17.0,124.23,-0.68,19.43,250.13,-183.0,-0.26,0.06,0.31
7.77,139.96,-21.47,-13.83,193.71,-18.0,-0.87,-0.51,-0.45
3.78,144.45,-30.75,-92.04,61.98,28.06,-0.79,-0.45,-0.91
-6.4,106.45,-22.42,-27.04,-30.12,-5.0,-0.64,-0.22,-0.82
-20.8,40.61,-33.77,-53.4,-250.14,-85.0,-0.88,-0.25,0.05
10.99,30.8,-16.35,50.61,-108.7,31.7,-0.06,0.02,0.99
14.0,18.84,-10.77,38.34,5.53,50.6,-0.01,0.02,0.95
-18.7,67.79,-11.36,11.95,114.69,-4.81,0.43,-0.02,0.8
-23.1,125.51,-1.03,109.32,250.13,-65.0,-1.21,-0.23,-0.73
6.96,135.03,-20.93,-79.23,76.5,29.88,-0.93,-0.63,-0.91
4.76,130.49,-40.93,-39.14,36.09,14.56,-0.43,-0.15,-0.82
-11.7,60.47,-34.7,28.24,-126.24,-22.0,-0.86,-0.27,-1.0
2.86,20.28,-21.77,-43.75,-250.14,-80.0,-0.41,-0.63,0.86
13.41,11.04,-16.88,64.66,-34.82,42.25,-0.21,-0.03,0.94
10.43,11.29,-11.06,19.31,-40.34,54.05,0.31,0.06,0.98
-41.8,73.84,-15.78,-4.89,199.82,-72.1,-0.01,0.07,0.77
-3.0,129.75,-22.01,41.24,230.59,-89.1,-1.15,-0.22,-0.31
12.5,136.98,-40.77,-74.56,52.97,26.79,-0.67,-0.67,-0.78
